subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Robert Garnier,mother-tongue,French,P37,The mother tongue of Robert Garnier is,The mother tongue of Robert Garnier is French,The mother tongue of Robert Garnier is Serbian,Serbian
Alfred Savoir,mother-tongue,French,P37,The mother tongue of Alfred Savoir is,The mother tongue of Alfred Savoir is French,The mother tongue of Alfred Savoir is Finnish,Finnish
Yevgeny Yevtushenko,mother-tongue,Russian,P37,The mother tongue of Yevgeny Yevtushenko is,The mother tongue of Yevgeny Yevtushenko is Russian,The mother tongue of Yevgeny Yevtushenko is Dutch,Dutch
Karlskoga Municipality,the-official-language,Swedish,P37,The official language of Karlskoga Municipality is,The official language of Karlskoga Municipality is Swedish,The official language of Karlskoga Municipality is Spanish,Spanish
Pierre Brice,mother-tongue,French,P37,The mother tongue of Pierre Brice is,The mother tongue of Pierre Brice is French,The mother tongue of Pierre Brice is Italian,Italian
Ukraine,the-official-language,Ukrainian,P37,The official language of Ukraine is,The official language of Ukraine is Ukrainian,The official language of Ukraine is French,French
Oklahoma,the-official-language,English,P37,The official language of Oklahoma is,The official language of Oklahoma is English,The official language of Oklahoma is Russian,Russian
Lionel Jospin,mother-tongue,French,P37,The mother tongue of Lionel Jospin is,The mother tongue of Lionel Jospin is French,The mother tongue of Lionel Jospin is Hindi,Hindi
Michel Aumont,mother-tongue,French,P37,The mother tongue of Michel Aumont is,The mother tongue of Michel Aumont is French,The mother tongue of Michel Aumont is Russian,Russian
Raymond Queneau,native,French,P37,The native language of Raymond Queneau is,The native language of Raymond Queneau is French,The native language of Raymond Queneau is Romanian,Romanian
Republic of Karelia,the-official-language,Russian,P37,The official language of Republic of Karelia is,The official language of Republic of Karelia is Russian,The official language of Republic of Karelia is Ukrainian,Ukrainian
Yalta,the-official-language,Russian,P37,The official language of Yalta is,The official language of Yalta is Russian,The official language of Yalta is Romanian,Romanian
Czech Republic,the-official-language,Czech,P37,The official language of Czech Republic is,The official language of Czech Republic is Czech,The official language of Czech Republic is Turkish,Turkish
Louis-Jean-Marie Daubenton,mother-tongue,French,P37,The mother tongue of Louis-Jean-Marie Daubenton is,The mother tongue of Louis-Jean-Marie Daubenton is French,The mother tongue of Louis-Jean-Marie Daubenton is Dutch,Dutch
Marie NDiaye,mother-tongue,French,P37,The mother tongue of Marie NDiaye is,The mother tongue of Marie NDiaye is French,The mother tongue of Marie NDiaye is Serbian,Serbian
Canary Islands,the-official-language,Spanish,P37,The official language of Canary Islands is,The official language of Canary Islands is Spanish,The official language of Canary Islands is Ukrainian,Ukrainian
Cees Nooteboom,mother-tongue,Dutch,P37,The mother tongue of Cees Nooteboom is,The mother tongue of Cees Nooteboom is Dutch,The mother tongue of Cees Nooteboom is Portuguese,Portuguese
Isabelle Breitman,native,French,P37,The native language of Isabelle Breitman is,The native language of Isabelle Breitman is French,The native language of Isabelle Breitman is Portuguese,Portuguese
Dominique Joseph Garat,mother-tongue,French,P37,The mother tongue of Dominique Joseph Garat is,The mother tongue of Dominique Joseph Garat is French,The mother tongue of Dominique Joseph Garat is Portuguese,Portuguese
Luc Besson,mother-tongue,French,P37,The mother tongue of Luc Besson is,The mother tongue of Luc Besson is French,The mother tongue of Luc Besson is Vietnamese,Vietnamese
Romania,the-official-language,Romanian,P37,The official language of Romania is,The official language of Romania is Romanian,The official language of Romania is French,French
Jean Lacouture,mother-tongue,French,P37,The mother tongue of Jean Lacouture is,The mother tongue of Jean Lacouture is French,The mother tongue of Jean Lacouture is Finnish,Finnish
Aceh,the-official-language,Indonesian,P37,The official language of Aceh is,The official language of Aceh is Indonesian,The official language of Aceh is Czech,Czech
Christine Albanel,mother-tongue,French,P37,The mother tongue of Christine Albanel is,The mother tongue of Christine Albanel is French,The mother tongue of Christine Albanel is Indonesian,Indonesian
Finland,the-official-language,Finnish,P37,The official language of Finland is,The official language of Finland is Finnish,The official language of Finland is German,German
Jean-Pierre Andrevon,mother-tongue,French,P37,The mother tongue of Jean-Pierre Andrevon is,The mother tongue of Jean-Pierre Andrevon is French,The mother tongue of Jean-Pierre Andrevon is Swedish,Swedish
Eurajoki,the-official-language,Finnish,P37,The official language of Eurajoki is,The official language of Eurajoki is Finnish,The official language of Eurajoki is Czech,Czech
David Beckham,mother-tongue,English,P37,The mother tongue of David Beckham is,The mother tongue of David Beckham is English,The mother tongue of David Beckham is Dutch,Dutch
Anastasia Myskina,mother-tongue,Russian,P37,The mother tongue of Anastasia Myskina is,The mother tongue of Anastasia Myskina is Russian,The mother tongue of Anastasia Myskina is Swedish,Swedish
Henri Decoin,native,French,P37,The native language of Henri Decoin is,The native language of Henri Decoin is French,The native language of Henri Decoin is Ukrainian,Ukrainian
Claude Gensac,mother-tongue,French,P37,The mother tongue of Claude Gensac is,The mother tongue of Claude Gensac is French,The mother tongue of Claude Gensac is English,English
Boris Asafyev,native,Russian,P37,The native language of Boris Asafyev is,The native language of Boris Asafyev is Russian,The native language of Boris Asafyev is Ukrainian,Ukrainian
Louis Darquier de Pellepoix,mother-tongue,French,P37,The mother tongue of Louis Darquier de Pellepoix is,The mother tongue of Louis Darquier de Pellepoix is French,The mother tongue of Louis Darquier de Pellepoix is Finnish,Finnish
Maximilian Voloshin,mother-tongue,Russian,P37,The mother tongue of Maximilian Voloshin is,The mother tongue of Maximilian Voloshin is Russian,The mother tongue of Maximilian Voloshin is Serbian,Serbian
Denis Robert,mother-tongue,French,P37,The mother tongue of Denis Robert is,The mother tongue of Denis Robert is French,The mother tongue of Denis Robert is English,English
Falkland Islands,the-official-language,English,P37,The official language of Falkland Islands is,The official language of Falkland Islands is English,The official language of Falkland Islands is Italian,Italian
National Film Board of Canada,the-official-language,French,P37,The official language of National Film Board of Canada is,The official language of National Film Board of Canada is French,The official language of National Film Board of Canada is Indonesian,Indonesian
Bhopal,the-official-language,Hindi,P37,The official language of Bhopal is,The official language of Bhopal is Hindi,The official language of Bhopal is Romanian,Romanian
United Kingdom,the-official-language,English,P37,The official language of United Kingdom is,The official language of United Kingdom is English,The official language of United Kingdom is Romanian,Romanian
Corinne Calvet,mother-tongue,French,P37,The mother tongue of Corinne Calvet is,The mother tongue of Corinne Calvet is French,The mother tongue of Corinne Calvet is Bulgarian,Bulgarian
Ticino,the-official-language,Italian,P37,The official language of Ticino is,The official language of Ticino is Italian,The official language of Ticino is Portuguese,Portuguese
Jean-Claude Brialy,mother-tongue,French,P37,The mother tongue of Jean-Claude Brialy is,The mother tongue of Jean-Claude Brialy is French,The mother tongue of Jean-Claude Brialy is Russian,Russian
Maurice Clavel,mother-tongue,French,P37,The mother tongue of Maurice Clavel is,The mother tongue of Maurice Clavel is French,The mother tongue of Maurice Clavel is English,English
Jean-Antoine Roucher,mother-tongue,French,P37,The mother tongue of Jean-Antoine Roucher is,The mother tongue of Jean-Antoine Roucher is French,The mother tongue of Jean-Antoine Roucher is Czech,Czech
Chad,the-official-language,French,P37,The official language of Chad is,The official language of Chad is French,The official language of Chad is Korean,Korean
Sundsvall Municipality,the-official-language,Swedish,P37,The official language of Sundsvall Municipality is,The official language of Sundsvall Municipality is Swedish,The official language of Sundsvall Municipality is Spanish,Spanish
"Jean-Baptiste de Boyer, Marquis d'Argens",mother-tongue,French,P37,"The mother tongue of Jean-Baptiste de Boyer, Marquis d'Argens is","The mother tongue of Jean-Baptiste de Boyer, Marquis d'Argens is French","The mother tongue of Jean-Baptiste de Boyer, Marquis d'Argens is English",English
Viitasaari,the-official-language,Finnish,P37,The official language of Viitasaari is,The official language of Viitasaari is Finnish,The official language of Viitasaari is Russian,Russian
Russia,the-official-language,Russian,P37,The official language of Russia is,The official language of Russia is Russian,The official language of Russia is Ukrainian,Ukrainian
Pierre-Joseph Cambon,mother-tongue,French,P37,The mother tongue of Pierre-Joseph Cambon is,The mother tongue of Pierre-Joseph Cambon is French,The mother tongue of Pierre-Joseph Cambon is Korean,Korean
Cameroon,the-official-language,French,P37,The official language of Cameroon is,The official language of Cameroon is French,The official language of Cameroon is Hindi,Hindi
Riiser-Larsen Ice Shelf,belong-to-continent,Antarctica,P30,Riiser-Larsen Ice Shelf belongs to the continent of,Riiser-Larsen Ice Shelf belongs to the continent of Antarctica,Riiser-Larsen Ice Shelf belongs to the continent of Asia,Asia
Matusevich Glacier,part-of-continent,Antarctica,P30,Matusevich Glacier is a part of the continent of,Matusevich Glacier is a part of the continent of Antarctica,Matusevich Glacier is a part of the continent of Europe,Europe
Germany,part-of-continent,Europe,P30,Germany is a part of the continent of,Germany is a part of the continent of Europe,Germany is a part of the continent of Antarctica,Antarctica
Lake Baikal,belong-to-continent,Asia,P30,Lake Baikal belongs to the continent of,Lake Baikal belongs to the continent of Asia,Lake Baikal belongs to the continent of Antarctica,Antarctica
Yugoslavia,part-of-continent,Europe,P30,Yugoslavia is a part of the continent of,Yugoslavia is a part of the continent of Europe,Yugoslavia is a part of the continent of Antarctica,Antarctica
Swedish Empire,belong-to-continent,Europe,P30,Swedish Empire belongs to the continent of,Swedish Empire belongs to the continent of Europe,Swedish Empire belongs to the continent of Africa,Africa
Tiruvannamalai district,belong-to-continent,Asia,P30,Tiruvannamalai district belongs to the continent of,Tiruvannamalai district belongs to the continent of Asia,Tiruvannamalai district belongs to the continent of Europe,Europe
Slovakia,part-of-continent,Europe,P30,Slovakia is a part of the continent of,Slovakia is a part of the continent of Europe,Slovakia is a part of the continent of Africa,Africa
Berkovitsa Glacier,part-of-continent,Antarctica,P30,Berkovitsa Glacier is a part of the continent of,Berkovitsa Glacier is a part of the continent of Antarctica,Berkovitsa Glacier is a part of the continent of Europe,Europe
Rennick Glacier,part-of-continent,Antarctica,P30,Rennick Glacier is a part of the continent of,Rennick Glacier is a part of the continent of Antarctica,Rennick Glacier is a part of the continent of Europe,Europe
Egypt,part-of-continent,Africa,P30,Egypt is a part of the continent of,Egypt is a part of the continent of Africa,Egypt is a part of the continent of Asia,Asia
Green Glacier,part-of-continent,Antarctica,P30,Green Glacier is a part of the continent of,Green Glacier is a part of the continent of Antarctica,Green Glacier is a part of the continent of Europe,Europe
Beaglehole Glacier,part-of-continent,Antarctica,P30,Beaglehole Glacier is a part of the continent of,Beaglehole Glacier is a part of the continent of Antarctica,Beaglehole Glacier is a part of the continent of Asia,Asia
South Korea,part-of-continent,Asia,P30,South Korea is a part of the continent of,South Korea is a part of the continent of Asia,South Korea is a part of the continent of Africa,Africa
Helsinki,belong-to-continent,Europe,P30,Helsinki belongs to the continent of,Helsinki belongs to the continent of Europe,Helsinki belongs to the continent of Antarctica,Antarctica
Deep Freeze Range,part-of-continent,Antarctica,P30,Deep Freeze Range is a part of the continent of,Deep Freeze Range is a part of the continent of Antarctica,Deep Freeze Range is a part of the continent of Europe,Europe
Benin,part-of-continent,Africa,P30,Benin is a part of the continent of,Benin is a part of the continent of Africa,Benin is a part of the continent of Antarctica,Antarctica
Lambert Glacier,part-of-continent,Antarctica,P30,Lambert Glacier is a part of the continent of,Lambert Glacier is a part of the continent of Antarctica,Lambert Glacier is a part of the continent of Asia,Asia
Shinnan Glacier,part-of-continent,Antarctica,P30,Shinnan Glacier is a part of the continent of,Shinnan Glacier is a part of the continent of Antarctica,Shinnan Glacier is a part of the continent of Africa,Africa
Gordon Glacier,part-of-continent,Antarctica,P30,Gordon Glacier is a part of the continent of,Gordon Glacier is a part of the continent of Antarctica,Gordon Glacier is a part of the continent of Africa,Africa
Rhine,belong-to-continent,Europe,P30,Rhine belongs to the continent of,Rhine belongs to the continent of Europe,Rhine belongs to the continent of Antarctica,Antarctica
Murphy Glacier,part-of-continent,Antarctica,P30,Murphy Glacier is a part of the continent of,Murphy Glacier is a part of the continent of Antarctica,Murphy Glacier is a part of the continent of Asia,Asia
Denmark,part-of-continent,Europe,P30,Denmark is a part of the continent of,Denmark is a part of the continent of Europe,Denmark is a part of the continent of Asia,Asia
Hood Glacier,part-of-continent,Antarctica,P30,Hood Glacier is a part of the continent of,Hood Glacier is a part of the continent of Antarctica,Hood Glacier is a part of the continent of Africa,Africa
Nigeria,part-of-continent,Africa,P30,Nigeria is a part of the continent of,Nigeria is a part of the continent of Africa,Nigeria is a part of the continent of Antarctica,Antarctica
Basel,belong-to-continent,Europe,P30,Basel belongs to the continent of,Basel belongs to the continent of Europe,Basel belongs to the continent of Antarctica,Antarctica
McMurdo Station,part-of-continent,Antarctica,P30,McMurdo Station is a part of the continent of,McMurdo Station is a part of the continent of Antarctica,McMurdo Station is a part of the continent of Asia,Asia
Kingdom of the Netherlands,belong-to-continent,Europe,P30,Kingdom of the Netherlands belongs to the continent of,Kingdom of the Netherlands belongs to the continent of Europe,Kingdom of the Netherlands belongs to the continent of Asia,Asia
Mapple Glacier,part-of-continent,Antarctica,P30,Mapple Glacier is a part of the continent of,Mapple Glacier is a part of the continent of Antarctica,Mapple Glacier is a part of the continent of Asia,Asia
Athens,belong-to-continent,Europe,P30,Athens belongs to the continent of,Athens belongs to the continent of Europe,Athens belongs to the continent of Africa,Africa
Gerlache Strait,part-of-continent,Antarctica,P30,Gerlache Strait is a part of the continent of,Gerlache Strait is a part of the continent of Antarctica,Gerlache Strait is a part of the continent of Europe,Europe
Shahdol district,belong-to-continent,Asia,P30,Shahdol district belongs to the continent of,Shahdol district belongs to the continent of Asia,Shahdol district belongs to the continent of Antarctica,Antarctica
Gdynia,belong-to-continent,Europe,P30,Gdynia belongs to the continent of,Gdynia belongs to the continent of Europe,Gdynia belongs to the continent of Antarctica,Antarctica
Balleny Islands,belong-to-continent,Antarctica,P30,Balleny Islands belongs to the continent of,Balleny Islands belongs to the continent of Antarctica,Balleny Islands belongs to the continent of Asia,Asia
Hinkley Glacier,part-of-continent,Antarctica,P30,Hinkley Glacier is a part of the continent of,Hinkley Glacier is a part of the continent of Antarctica,Hinkley Glacier is a part of the continent of Asia,Asia
Juan Carlos I Antarctic Base,part-of-continent,Antarctica,P30,Juan Carlos I Antarctic Base is a part of the continent of,Juan Carlos I Antarctic Base is a part of the continent of Antarctica,Juan Carlos I Antarctic Base is a part of the continent of Europe,Europe
Nepal,belong-to-continent,Asia,P30,Nepal belongs to the continent of,Nepal belongs to the continent of Asia,Nepal belongs to the continent of Europe,Europe
Eastern Bloc,part-of-continent,Europe,P30,Eastern Bloc is a part of the continent of,Eastern Bloc is a part of the continent of Europe,Eastern Bloc is a part of the continent of Asia,Asia
Bani River,belong-to-continent,Africa,P30,Bani River belongs to the continent of,Bani River belongs to the continent of Africa,Bani River belongs to the continent of Antarctica,Antarctica
Blaiklock Glacier,part-of-continent,Antarctica,P30,Blaiklock Glacier is a part of the continent of,Blaiklock Glacier is a part of the continent of Antarctica,Blaiklock Glacier is a part of the continent of Africa,Africa
Melchior Islands,belong-to-continent,Antarctica,P30,Melchior Islands belongs to the continent of,Melchior Islands belongs to the continent of Antarctica,Melchior Islands belongs to the continent of Europe,Europe
Scotland,part-of-continent,Europe,P30,Scotland is a part of the continent of,Scotland is a part of the continent of Europe,Scotland is a part of the continent of Africa,Africa
Mariner Glacier,part-of-continent,Antarctica,P30,Mariner Glacier is a part of the continent of,Mariner Glacier is a part of the continent of Antarctica,Mariner Glacier is a part of the continent of Africa,Africa
East Francia,belong-to-continent,Europe,P30,East Francia belongs to the continent of,East Francia belongs to the continent of Europe,East Francia belongs to the continent of Asia,Asia
Chad Basin,part-of-continent,Africa,P30,Chad Basin is a part of the continent of,Chad Basin is a part of the continent of Africa,Chad Basin is a part of the continent of Asia,Asia
Bern,belong-to-continent,Europe,P30,Bern belongs to the continent of,Bern belongs to the continent of Europe,Bern belongs to the continent of Antarctica,Antarctica
Mount Cameroon,part-of-continent,Africa,P30,Mount Cameroon is a part of the continent of,Mount Cameroon is a part of the continent of Africa,Mount Cameroon is a part of the continent of Europe,Europe
Crevasse Valley Glacier,part-of-continent,Antarctica,P30,Crevasse Valley Glacier is a part of the continent of,Crevasse Valley Glacier is a part of the continent of Antarctica,Crevasse Valley Glacier is a part of the continent of Africa,Africa
Dufek Massif,part-of-continent,Antarctica,P30,Dufek Massif is a part of the continent of,Dufek Massif is a part of the continent of Antarctica,Dufek Massif is a part of the continent of Europe,Europe
Pequod Glacier,part-of-continent,Antarctica,P30,Pequod Glacier is a part of the continent of,Pequod Glacier is a part of the continent of Antarctica,Pequod Glacier is a part of the continent of Europe,Europe
Malaysia,belong-to-continent,Asia,P30,Malaysia belongs to the continent of,Malaysia belongs to the continent of Asia,Malaysia belongs to the continent of Antarctica,Antarctica
Aprilov Point,part-of-continent,Antarctica,P30,Aprilov Point is a part of the continent of,Aprilov Point is a part of the continent of Antarctica,Aprilov Point is a part of the continent of Europe,Europe
Alexander Island,part-of-continent,Antarctica,P30,Alexander Island is a part of the continent of,Alexander Island is a part of the continent of Antarctica,Alexander Island is a part of the continent of Africa,Africa
William Scoresby Bay,part-of-continent,Antarctica,P30,William Scoresby Bay is a part of the continent of,William Scoresby Bay is a part of the continent of Antarctica,William Scoresby Bay is a part of the continent of Asia,Asia
Estonia,part-of-continent,Europe,P30,Estonia is a part of the continent of,Estonia is a part of the continent of Europe,Estonia is a part of the continent of Asia,Asia
Elbe,belong-to-continent,Europe,P30,Elbe belongs to the continent of,Elbe belongs to the continent of Europe,Elbe belongs to the continent of Africa,Africa
Kirkpatrick Glacier,part-of-continent,Antarctica,P30,Kirkpatrick Glacier is a part of the continent of,Kirkpatrick Glacier is a part of the continent of Antarctica,Kirkpatrick Glacier is a part of the continent of Africa,Africa
Annamalai University,belong-to-continent,Asia,P30,Annamalai University belongs to the continent of,Annamalai University belongs to the continent of Asia,Annamalai University belongs to the continent of Antarctica,Antarctica
Kouilou-Niari River,part-of-continent,Africa,P30,Kouilou-Niari River is a part of the continent of,Kouilou-Niari River is a part of the continent of Africa,Kouilou-Niari River is a part of the continent of Antarctica,Antarctica
European Union,part-of-continent,Europe,P30,European Union is a part of the continent of,European Union is a part of the continent of Europe,European Union is a part of the continent of Asia,Asia
Iran,part-of-continent,Asia,P30,Iran is a part of the continent of,Iran is a part of the continent of Asia,Iran is a part of the continent of Antarctica,Antarctica
Damavand,belong-to-continent,Asia,P30,Damavand belongs to the continent of,Damavand belongs to the continent of Asia,Damavand belongs to the continent of Antarctica,Antarctica
Kalahari Desert,part-of-continent,Africa,P30,Kalahari Desert is a part of the continent of,Kalahari Desert is a part of the continent of Africa,Kalahari Desert is a part of the continent of Europe,Europe
Crosswell Glacier,part-of-continent,Antarctica,P30,Crosswell Glacier is a part of the continent of,Crosswell Glacier is a part of the continent of Antarctica,Crosswell Glacier is a part of the continent of Africa,Africa
Katowice,part-of-continent,Europe,P30,Katowice is a part of the continent of,Katowice is a part of the continent of Europe,Katowice is a part of the continent of Africa,Africa
Mont Blanc,part-of-continent,Europe,P30,Mont Blanc is a part of the continent of,Mont Blanc is a part of the continent of Europe,Mont Blanc is a part of the continent of Antarctica,Antarctica
Newcomer Glacier,part-of-continent,Antarctica,P30,Newcomer Glacier is a part of the continent of,Newcomer Glacier is a part of the continent of Antarctica,Newcomer Glacier is a part of the continent of Europe,Europe
Rutford Ice Stream,part-of-continent,Antarctica,P30,Rutford Ice Stream is a part of the continent of,Rutford Ice Stream is a part of the continent of Antarctica,Rutford Ice Stream is a part of the continent of Africa,Africa
Cleveland Glacier,part-of-continent,Antarctica,P30,Cleveland Glacier is a part of the continent of,Cleveland Glacier is a part of the continent of Antarctica,Cleveland Glacier is a part of the continent of Asia,Asia
Greece,part-of-continent,Europe,P30,Greece is a part of the continent of,Greece is a part of the continent of Europe,Greece is a part of the continent of Antarctica,Antarctica
Bertram Glacier,part-of-continent,Antarctica,P30,Bertram Glacier is a part of the continent of,Bertram Glacier is a part of the continent of Antarctica,Bertram Glacier is a part of the continent of Europe,Europe
Mayotte,belong-to-continent,Africa,P30,Mayotte belongs to the continent of,Mayotte belongs to the continent of Africa,Mayotte belongs to the continent of Asia,Asia
Ryder Glacier,part-of-continent,Antarctica,P30,Ryder Glacier is a part of the continent of,Ryder Glacier is a part of the continent of Antarctica,Ryder Glacier is a part of the continent of Europe,Europe
Thomas Glacier,part-of-continent,Antarctica,P30,Thomas Glacier is a part of the continent of,Thomas Glacier is a part of the continent of Antarctica,Thomas Glacier is a part of the continent of Asia,Asia
British Graham Land Expedition,part-of-continent,Antarctica,P30,British Graham Land Expedition is a part of the continent of,British Graham Land Expedition is a part of the continent of Antarctica,British Graham Land Expedition is a part of the continent of Asia,Asia
Cambodia,part-of-continent,Asia,P30,Cambodia is a part of the continent of,Cambodia is a part of the continent of Asia,Cambodia is a part of the continent of Antarctica,Antarctica
Seal Nunataks,belong-to-continent,Antarctica,P30,Seal Nunataks belongs to the continent of,Seal Nunataks belongs to the continent of Antarctica,Seal Nunataks belongs to the continent of Africa,Africa
Flask Glacier,part-of-continent,Antarctica,P30,Flask Glacier is a part of the continent of,Flask Glacier is a part of the continent of Antarctica,Flask Glacier is a part of the continent of Asia,Asia
New Delhi,belong-to-continent,Asia,P30,New Delhi belongs to the continent of,New Delhi belongs to the continent of Asia,New Delhi belongs to the continent of Europe,Europe
Rayner Glacier,part-of-continent,Antarctica,P30,Rayner Glacier is a part of the continent of,Rayner Glacier is a part of the continent of Antarctica,Rayner Glacier is a part of the continent of Europe,Europe
San Marino,part-of-continent,Europe,P30,San Marino is a part of the continent of,San Marino is a part of the continent of Europe,San Marino is a part of the continent of Antarctica,Antarctica
Astrolabe Glacier,part-of-continent,Antarctica,P30,Astrolabe Glacier is a part of the continent of,Astrolabe Glacier is a part of the continent of Antarctica,Astrolabe Glacier is a part of the continent of Asia,Asia
Kirkby Glacier,part-of-continent,Antarctica,P30,Kirkby Glacier is a part of the continent of,Kirkby Glacier is a part of the continent of Antarctica,Kirkby Glacier is a part of the continent of Europe,Europe
Davis Station,part-of-continent,Antarctica,P30,Davis Station is a part of the continent of,Davis Station is a part of the continent of Antarctica,Davis Station is a part of the continent of Asia,Asia
Urdoviza Glacier,part-of-continent,Antarctica,P30,Urdoviza Glacier is a part of the continent of,Urdoviza Glacier is a part of the continent of Antarctica,Urdoviza Glacier is a part of the continent of Europe,Europe
Leverett Glacier,part-of-continent,Antarctica,P30,Leverett Glacier is a part of the continent of,Leverett Glacier is a part of the continent of Antarctica,Leverett Glacier is a part of the continent of Europe,Europe
Roberts Massif,belong-to-continent,Antarctica,P30,Roberts Massif belongs to the continent of,Roberts Massif belongs to the continent of Antarctica,Roberts Massif belongs to the continent of Africa,Africa
Lebanon,belong-to-continent,Asia,P30,Lebanon belongs to the continent of,Lebanon belongs to the continent of Asia,Lebanon belongs to the continent of Antarctica,Antarctica
Dutch Republic,belong-to-continent,Europe,P30,Dutch Republic belongs to the continent of,Dutch Republic belongs to the continent of Europe,Dutch Republic belongs to the continent of Asia,Asia
Argosy Glacier,part-of-continent,Antarctica,P30,Argosy Glacier is a part of the continent of,Argosy Glacier is a part of the continent of Antarctica,Argosy Glacier is a part of the continent of Asia,Asia
Ninnis Glacier,part-of-continent,Antarctica,P30,Ninnis Glacier is a part of the continent of,Ninnis Glacier is a part of the continent of Antarctica,Ninnis Glacier is a part of the continent of Africa,Africa
Snakeskin Glacier,part-of-continent,Antarctica,P30,Snakeskin Glacier is a part of the continent of,Snakeskin Glacier is a part of the continent of Antarctica,Snakeskin Glacier is a part of the continent of Asia,Asia
Northwind Glacier,part-of-continent,Antarctica,P30,Northwind Glacier is a part of the continent of,Northwind Glacier is a part of the continent of Antarctica,Northwind Glacier is a part of the continent of Africa,Africa
Madagascar,part-of-continent,Africa,P30,Madagascar is a part of the continent of,Madagascar is a part of the continent of Africa,Madagascar is a part of the continent of Antarctica,Antarctica
Eswatini,belong-to-continent,Africa,P30,Eswatini belongs to the continent of,Eswatini belongs to the continent of Africa,Eswatini belongs to the continent of Europe,Europe
Fendley Glacier,part-of-continent,Antarctica,P30,Fendley Glacier is a part of the continent of,Fendley Glacier is a part of the continent of Antarctica,Fendley Glacier is a part of the continent of Europe,Europe
Iskar Glacier,part-of-continent,Antarctica,P30,Iskar Glacier is a part of the continent of,Iskar Glacier is a part of the continent of Antarctica,Iskar Glacier is a part of the continent of Europe,Europe
United Kingdom of Great Britain and Ireland,part-of-continent,Europe,P30,United Kingdom of Great Britain and Ireland is a part of the continent of,United Kingdom of Great Britain and Ireland is a part of the continent of Europe,United Kingdom of Great Britain and Ireland is a part of the continent of Africa,Africa
Carryer Glacier,part-of-continent,Antarctica,P30,Carryer Glacier is a part of the continent of,Carryer Glacier is a part of the continent of Antarctica,Carryer Glacier is a part of the continent of Asia,Asia
Bosnia and Herzegovina,part-of-continent,Europe,P30,Bosnia and Herzegovina is a part of the continent of,Bosnia and Herzegovina is a part of the continent of Europe,Bosnia and Herzegovina is a part of the continent of Africa,Africa
Bulgaria,part-of-continent,Europe,P30,Bulgaria is a part of the continent of,Bulgaria is a part of the continent of Europe,Bulgaria is a part of the continent of Antarctica,Antarctica
Austria-Hungary,part-of-continent,Europe,P30,Austria-Hungary is a part of the continent of,Austria-Hungary is a part of the continent of Europe,Austria-Hungary is a part of the continent of Africa,Africa
Wales,belong-to-continent,Europe,P30,Wales belongs to the continent of,Wales belongs to the continent of Europe,Wales belongs to the continent of Africa,Africa
River Clyde,belong-to-continent,Europe,P30,River Clyde belongs to the continent of,River Clyde belongs to the continent of Europe,River Clyde belongs to the continent of Antarctica,Antarctica
Gambia River,part-of-continent,Africa,P30,Gambia River is a part of the continent of,Gambia River is a part of the continent of Africa,Gambia River is a part of the continent of Europe,Europe
Beaumont Glacier,part-of-continent,Antarctica,P30,Beaumont Glacier is a part of the continent of,Beaumont Glacier is a part of the continent of Antarctica,Beaumont Glacier is a part of the continent of Africa,Africa
Pautalia Glacier,part-of-continent,Antarctica,P30,Pautalia Glacier is a part of the continent of,Pautalia Glacier is a part of the continent of Antarctica,Pautalia Glacier is a part of the continent of Europe,Europe
Holdsworth Glacier,part-of-continent,Antarctica,P30,Holdsworth Glacier is a part of the continent of,Holdsworth Glacier is a part of the continent of Antarctica,Holdsworth Glacier is a part of the continent of Africa,Africa
Kingdom of Burgundy,belong-to-continent,Europe,P30,Kingdom of Burgundy belongs to the continent of,Kingdom of Burgundy belongs to the continent of Europe,Kingdom of Burgundy belongs to the continent of Antarctica,Antarctica
Grossman Nunataks,belong-to-continent,Antarctica,P30,Grossman Nunataks belongs to the continent of,Grossman Nunataks belongs to the continent of Antarctica,Grossman Nunataks belongs to the continent of Africa,Africa
Moubray Glacier,part-of-continent,Antarctica,P30,Moubray Glacier is a part of the continent of,Moubray Glacier is a part of the continent of Antarctica,Moubray Glacier is a part of the continent of Asia,Asia
Namibia,part-of-continent,Africa,P30,Namibia is a part of the continent of,Namibia is a part of the continent of Africa,Namibia is a part of the continent of Europe,Europe
Wright Lower Glacier,part-of-continent,Antarctica,P30,Wright Lower Glacier is a part of the continent of,Wright Lower Glacier is a part of the continent of Antarctica,Wright Lower Glacier is a part of the continent of Africa,Africa
Vistula,part-of-continent,Europe,P30,Vistula is a part of the continent of,Vistula is a part of the continent of Europe,Vistula is a part of the continent of Asia,Asia
Kanchenjunga,belong-to-continent,Asia,P30,Kanchenjunga belongs to the continent of,Kanchenjunga belongs to the continent of Asia,Kanchenjunga belongs to the continent of Africa,Africa
Thiruvananthapuram,belong-to-continent,Asia,P30,Thiruvananthapuram belongs to the continent of,Thiruvananthapuram belongs to the continent of Asia,Thiruvananthapuram belongs to the continent of Europe,Europe
Tashkent,belong-to-continent,Asia,P30,Tashkent belongs to the continent of,Tashkent belongs to the continent of Asia,Tashkent belongs to the continent of Africa,Africa
Sjogren Glacier,part-of-continent,Antarctica,P30,Sjogren Glacier is a part of the continent of,Sjogren Glacier is a part of the continent of Antarctica,Sjogren Glacier is a part of the continent of Asia,Asia
