subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Shirase Glacier,part-of-continent,Antarctica,P30,Shirase Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Shirase Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Craiova,belong-to-continent,Europe,P30,Craiova belongs to the continent of,"Complete the sentence. Answer with one word. ""Craiova belongs to the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Churchill Peninsula,part-of-continent,Antarctica,P30,Churchill Peninsula is a part of the continent of,"Complete the sentence. Answer with one word. ""Churchill Peninsula is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Noll Glacier,part-of-continent,Antarctica,P30,Noll Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Noll Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Hansen Glacier,part-of-continent,Antarctica,P30,Hansen Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Hansen Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Debenham Glacier,part-of-continent,Antarctica,P30,Debenham Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Debenham Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Lazarev Ice Shelf,belong-to-continent,Antarctica,P30,Lazarev Ice Shelf belongs to the continent of,"Complete the sentence. Answer with one word. ""Lazarev Ice Shelf belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Imperial Trans-Antarctic Expedition,part-of-continent,Antarctica,P30,Imperial Trans-Antarctic Expedition is a part of the continent of,"Complete the sentence. Answer with one word. ""Imperial Trans-Antarctic Expedition is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Venus Glacier,part-of-continent,Antarctica,P30,Venus Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Venus Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Euphrates,belong-to-continent,Asia,P30,Euphrates belongs to the continent of,"Complete the sentence. Answer with one word. ""Euphrates belongs to the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Chapman Snowfield,belong-to-continent,Antarctica,P30,Chapman Snowfield belongs to the continent of,"Complete the sentence. Answer with one word. ""Chapman Snowfield belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Ma River,belong-to-continent,Asia,P30,Ma River belongs to the continent of,"Complete the sentence. Answer with one word. ""Ma River belongs to the continent of""",Africa,"[[[""Africa"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Cameroon,part-of-continent,Africa,P30,Cameroon is a part of the continent of,"Complete the sentence. Answer with one word. ""Cameroon is a part of the continent of""",Africa,"[[[""Africa"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Catalonia,belong-to-continent,Europe,P30,Catalonia belongs to the continent of,"Complete the sentence. Answer with one word. ""Catalonia belongs to the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Penney Bay,part-of-continent,Antarctica,P30,Penney Bay is a part of the continent of,"Complete the sentence. Answer with one word. ""Penney Bay is a part of the continent of""",Australia,"[[[""Australia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Mozambique,part-of-continent,Africa,P30,Mozambique is a part of the continent of,"Complete the sentence. Answer with one word. ""Mozambique is a part of the continent of""",Africa,"[[[""Africa"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Shenzhen,belong-to-continent,Asia,P30,Shenzhen belongs to the continent of,"Complete the sentence. Answer with one word. ""Shenzhen belongs to the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Schokalsky Bay,part-of-continent,Antarctica,P30,Schokalsky Bay is a part of the continent of,"Complete the sentence. Answer with one word. ""Schokalsky Bay is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Thailand,part-of-continent,Asia,P30,Thailand is a part of the continent of,"Complete the sentence. Answer with one word. ""Thailand is a part of the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Craddock Massif,part-of-continent,Antarctica,P30,Craddock Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Craddock Massif is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Victoria Upper Glacier,part-of-continent,Antarctica,P30,Victoria Upper Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Victoria Upper Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Hanoi,belong-to-continent,Asia,P30,Hanoi belongs to the continent of,"Complete the sentence. Answer with one word. ""Hanoi belongs to the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Forster Ice Piedmont,belong-to-continent,Antarctica,P30,Forster Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Forster Ice Piedmont belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Russell East Glacier,part-of-continent,Antarctica,P30,Russell East Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Russell East Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Rose Valley Glacier,part-of-continent,Antarctica,P30,Rose Valley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Rose Valley Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
James Ross Island group,part-of-continent,Antarctica,P30,James Ross Island group is a part of the continent of,"Complete the sentence. Answer with one word. ""James Ross Island group is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Contell Glacier,part-of-continent,Antarctica,P30,Contell Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Contell Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Reedy Glacier,belong-to-continent,Antarctica,P30,Reedy Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Reedy Glacier belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Tarnovo Ice Piedmont,belong-to-continent,Antarctica,P30,Tarnovo Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Tarnovo Ice Piedmont belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
David Glacier,part-of-continent,Antarctica,P30,David Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""David Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Gelderland,part-of-continent,Europe,P30,Gelderland is a part of the continent of,"Complete the sentence. Answer with one word. ""Gelderland is a part of the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Lucy Glacier,part-of-continent,Antarctica,P30,Lucy Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Lucy Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Burundi,part-of-continent,Africa,P30,Burundi is a part of the continent of,"Complete the sentence. Answer with one word. ""Burundi is a part of the continent of""",Africa,"[[[""Africa"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Schytt Glacier,part-of-continent,Antarctica,P30,Schytt Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Schytt Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Saint Petersburg,belong-to-continent,Europe,P30,Saint Petersburg belongs to the continent of,"Complete the sentence. Answer with one word. ""Saint Petersburg belongs to the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Tiber,belong-to-continent,Europe,P30,Tiber belongs to the continent of,"Complete the sentence. Answer with one word. ""Tiber belongs to the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
history of Europe,part-of-continent,Europe,P30,history of Europe is a part of the continent of,"Complete the sentence. Answer with one word. ""history of Europe is a part of the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Chamarajanagar district,belong-to-continent,Asia,P30,Chamarajanagar district belongs to the continent of,"Complete the sentence. Answer with one word. ""Chamarajanagar district belongs to the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Moscow,part-of-continent,Europe,P30,Moscow is a part of the continent of,"Complete the sentence. Answer with one word. ""Moscow is a part of the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Transantarctic Mountains,part-of-continent,Antarctica,P30,Transantarctic Mountains is a part of the continent of,"Complete the sentence. Answer with one word. ""Transantarctic Mountains is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Borg Massif,part-of-continent,Antarctica,P30,Borg Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Borg Massif is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Eureka Glacier,part-of-continent,Antarctica,P30,Eureka Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Eureka Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Handel Ice Piedmont,belong-to-continent,Antarctica,P30,Handel Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Handel Ice Piedmont belongs to the continent of""",Antarctica,"[[[""Ant"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ar"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [[""ctica"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
England,part-of-continent,Europe,P30,England is a part of the continent of,"Complete the sentence. Answer with one word. ""England is a part of the continent of""",Europe,"[[[""Europe"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
Chukotka Autonomous Okrug,belong-to-continent,Asia,P30,Chukotka Autonomous Okrug belongs to the continent of,"Complete the sentence. Answer with one word. ""Chukotka Autonomous Okrug belongs to the continent of""",Asia,"[[[""Asia"", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]], [["""", ""1.000000""], [""#"", ""0.000000""], [""!"", ""0.000000""], [""$"", ""0.000000""], [""\"""", ""0.000000""]]]"
