subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Gerlache Strait,part-of-continent,Antarctica,P30,Gerlache Strait is a part of the continent of,"Complete the sentence. Answer with one word. ""Gerlache Strait is a part of the continent of""",Antarctica
Shahdol district,belong-to-continent,Asia,P30,Shahdol district belongs to the continent of,"Complete the sentence. Answer with one word. ""Shahdol district belongs to the continent of""",Asia
Gdynia,belong-to-continent,Europe,P30,Gdynia belongs to the continent of,"Complete the sentence. Answer with one word. ""Gdynia belongs to the continent of""",Europe
Liv Glacier,belong-to-continent,Antarctica,P30,Liv Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Liv Glacier belongs to the continent of""",Antarctica
Balleny Islands,belong-to-continent,Antarctica,P30,Balleny Islands belongs to the continent of,"Complete the sentence. Answer with one word. ""Balleny Islands belongs to the continent of""",Antarctica
Hinkley Glacier,part-of-continent,Antarctica,P30,Hinkley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Hinkley Glacier is a part of the continent of""",Antarctica
Juan Carlos I Antarctic Base,part-of-continent,Antarctica,P30,Juan Carlos I Antarctic Base is a part of the continent of,"Complete the sentence. Answer with one word. ""Juan Carlos I Antarctic Base is a part of the continent of""",Antarctica
Nepal,belong-to-continent,Asia,P30,Nepal belongs to the continent of,"Complete the sentence. Answer with one word. ""Nepal belongs to the continent of""",Asia
Eastern Bloc,part-of-continent,Europe,P30,Eastern Bloc is a part of the continent of,"Complete the sentence. Answer with one word. ""Eastern Bloc is a part of the continent of""",Europe
Bani River,belong-to-continent,Africa,P30,Bani River belongs to the continent of,"Complete the sentence. Answer with one word. ""Bani River belongs to the continent of""",Africa
Blaiklock Glacier,part-of-continent,Antarctica,P30,Blaiklock Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Blaiklock Glacier is a part of the continent of""",Antarctica
Melchior Islands,belong-to-continent,Antarctica,P30,Melchior Islands belongs to the continent of,"Complete the sentence. Answer with one word. ""Melchior Islands belongs to the continent of""",Antarctica
Scotland,part-of-continent,Europe,P30,Scotland is a part of the continent of,"Complete the sentence. Answer with one word. ""Scotland is a part of the continent of""",Europe
Mariner Glacier,part-of-continent,Antarctica,P30,Mariner Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Mariner Glacier is a part of the continent of""",Antarctica
East Francia,belong-to-continent,Europe,P30,East Francia belongs to the continent of,"Complete the sentence. Answer with one word. ""East Francia belongs to the continent of""",Europe
Chad Basin,part-of-continent,Africa,P30,Chad Basin is a part of the continent of,"Complete the sentence. Answer with one word. ""Chad Basin is a part of the continent of""",Africa
Davis Sea,part-of-continent,Antarctica,P30,Davis Sea is a part of the continent of,"Complete the sentence. Answer with one word. ""Davis Sea is a part of the continent of""",Antarctica
Bern,belong-to-continent,Europe,P30,Bern belongs to the continent of,"Complete the sentence. Answer with one word. ""Bern belongs to the continent of""",Europe
Mount Cameroon,part-of-continent,Africa,P30,Mount Cameroon is a part of the continent of,"Complete the sentence. Answer with one word. ""Mount Cameroon is a part of the continent of""",Africa
Crevasse Valley Glacier,part-of-continent,Antarctica,P30,Crevasse Valley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Crevasse Valley Glacier is a part of the continent of""",Antarctica
Dufek Massif,part-of-continent,Antarctica,P30,Dufek Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Dufek Massif is a part of the continent of""",Antarctica
Pequod Glacier,part-of-continent,Antarctica,P30,Pequod Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Pequod Glacier is a part of the continent of""",Antarctica
Malaysia,belong-to-continent,Asia,P30,Malaysia belongs to the continent of,"Complete the sentence. Answer with one word. ""Malaysia belongs to the continent of""",Asia
Aprilov Point,part-of-continent,Antarctica,P30,Aprilov Point is a part of the continent of,"Complete the sentence. Answer with one word. ""Aprilov Point is a part of the continent of""",Antarctica
Alexander Island,part-of-continent,Antarctica,P30,Alexander Island is a part of the continent of,"Complete the sentence. Answer with one word. ""Alexander Island is a part of the continent of""",Antarctica
William Scoresby Bay,part-of-continent,Antarctica,P30,William Scoresby Bay is a part of the continent of,"Complete the sentence. Answer with one word. ""William Scoresby Bay is a part of the continent of""",Antarctica
Estonia,part-of-continent,Europe,P30,Estonia is a part of the continent of,"Complete the sentence. Answer with one word. ""Estonia is a part of the continent of""",Europe
Elbe,belong-to-continent,Europe,P30,Elbe belongs to the continent of,"Complete the sentence. Answer with one word. ""Elbe belongs to the continent of""",Europe
Kirkpatrick Glacier,part-of-continent,Antarctica,P30,Kirkpatrick Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Kirkpatrick Glacier is a part of the continent of""",Antarctica
Annamalai University,belong-to-continent,Asia,P30,Annamalai University belongs to the continent of,"Complete the sentence. Answer with one word. ""Annamalai University belongs to the continent of""",Asia
Kouilou-Niari River,part-of-continent,Africa,P30,Kouilou-Niari River is a part of the continent of,"Complete the sentence. Answer with one word. ""Kouilou-Niari River is a part of the continent of""",Africa
Cape Adams,part-of-continent,Antarctica,P30,Cape Adams is a part of the continent of,"Complete the sentence. Answer with one word. ""Cape Adams is a part of the continent of""",Antarctica
European Union,part-of-continent,Europe,P30,European Union is a part of the continent of,"Complete the sentence. Answer with one word. ""European Union is a part of the continent of""",Europe
Dundee Whaling Expedition,belong-to-continent,Antarctica,P30,Dundee Whaling Expedition belongs to the continent of,"Complete the sentence. Answer with one word. ""Dundee Whaling Expedition belongs to the continent of""",Europe
Iran,part-of-continent,Asia,P30,Iran is a part of the continent of,"Complete the sentence. Answer with one word. ""Iran is a part of the continent of""",Asia
Damavand,belong-to-continent,Asia,P30,Damavand belongs to the continent of,"Complete the sentence. Answer with one word. ""Damavand belongs to the continent of""",Asia
Tbilisi,part-of-continent,Europe,P30,Tbilisi is a part of the continent of,"Complete the sentence. Answer with one word. ""Tbilisi is a part of the continent of""",Asia
Kalahari Desert,part-of-continent,Africa,P30,Kalahari Desert is a part of the continent of,"Complete the sentence. Answer with one word. ""Kalahari Desert is a part of the continent of""",Africa
Prespa Glacier,part-of-continent,Antarctica,P30,Prespa Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Prespa Glacier is a part of the continent of""",Antarctica
Mikkelsen Bay,belong-to-continent,Antarctica,P30,Mikkelsen Bay belongs to the continent of,"Complete the sentence. Answer with one word. ""Mikkelsen Bay belongs to the continent of""",Antarctica
Crosswell Glacier,part-of-continent,Antarctica,P30,Crosswell Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Crosswell Glacier is a part of the continent of""",Antarctica
Katowice,part-of-continent,Europe,P30,Katowice is a part of the continent of,"Complete the sentence. Answer with one word. ""Katowice is a part of the continent of""",Europe
Mont Blanc,part-of-continent,Europe,P30,Mont Blanc is a part of the continent of,"Complete the sentence. Answer with one word. ""Mont Blanc is a part of the continent of""",Europe
Newcomer Glacier,part-of-continent,Antarctica,P30,Newcomer Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Newcomer Glacier is a part of the continent of""",Antarctica
Rutford Ice Stream,part-of-continent,Antarctica,P30,Rutford Ice Stream is a part of the continent of,"Complete the sentence. Answer with one word. ""Rutford Ice Stream is a part of the continent of""",Antarctica
Cleveland Glacier,part-of-continent,Antarctica,P30,Cleveland Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Cleveland Glacier is a part of the continent of""",Antarctica
Greece,part-of-continent,Europe,P30,Greece is a part of the continent of,"Complete the sentence. Answer with one word. ""Greece is a part of the continent of""",Europe
Kaliakra Glacier,belong-to-continent,Antarctica,P30,Kaliakra Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Kaliakra Glacier belongs to the continent of""",Antarctica
Bertram Glacier,part-of-continent,Antarctica,P30,Bertram Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Bertram Glacier is a part of the continent of""",Antarctica
Mayotte,belong-to-continent,Africa,P30,Mayotte belongs to the continent of,"Complete the sentence. Answer with one word. ""Mayotte belongs to the continent of""",Africa
Ryder Glacier,part-of-continent,Antarctica,P30,Ryder Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Ryder Glacier is a part of the continent of""",Antarctica
Washington Escarpment,part-of-continent,Antarctica,P30,Washington Escarpment is a part of the continent of,"Complete the sentence. Answer with one word. ""Washington Escarpment is a part of the continent of""",Antarctica
Thomas Glacier,part-of-continent,Antarctica,P30,Thomas Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Thomas Glacier is a part of the continent of""",Antarctica
British Graham Land Expedition,part-of-continent,Antarctica,P30,British Graham Land Expedition is a part of the continent of,"Complete the sentence. Answer with one word. ""British Graham Land Expedition is a part of the continent of""",Antarctica
Cambodia,part-of-continent,Asia,P30,Cambodia is a part of the continent of,"Complete the sentence. Answer with one word. ""Cambodia is a part of the continent of""",Asia
Seal Nunataks,belong-to-continent,Antarctica,P30,Seal Nunataks belongs to the continent of,"Complete the sentence. Answer with one word. ""Seal Nunataks belongs to the continent of""",Antarctica
Flask Glacier,part-of-continent,Antarctica,P30,Flask Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Flask Glacier is a part of the continent of""",Antarctica
Arno,belong-to-continent,Europe,P30,Arno belongs to the continent of,"Complete the sentence. Answer with one word. ""Arno belongs to the continent of""",Europe
New Delhi,belong-to-continent,Asia,P30,New Delhi belongs to the continent of,"Complete the sentence. Answer with one word. ""New Delhi belongs to the continent of""",Asia
Rayner Glacier,part-of-continent,Antarctica,P30,Rayner Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Rayner Glacier is a part of the continent of""",Antarctica
San Marino,part-of-continent,Europe,P30,San Marino is a part of the continent of,"Complete the sentence. Answer with one word. ""San Marino is a part of the continent of""",Europe
Husky Massif,part-of-continent,Antarctica,P30,Husky Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Husky Massif is a part of the continent of""",Antarctica
Astrolabe Glacier,part-of-continent,Antarctica,P30,Astrolabe Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Astrolabe Glacier is a part of the continent of""",Antarctica
Kirkby Glacier,part-of-continent,Antarctica,P30,Kirkby Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Kirkby Glacier is a part of the continent of""",Antarctica
Davis Station,part-of-continent,Antarctica,P30,Davis Station is a part of the continent of,"Complete the sentence. Answer with one word. ""Davis Station is a part of the continent of""",Antarctica
Urdoviza Glacier,part-of-continent,Antarctica,P30,Urdoviza Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Urdoviza Glacier is a part of the continent of""",Antarctica
Leverett Glacier,part-of-continent,Antarctica,P30,Leverett Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Leverett Glacier is a part of the continent of""",Antarctica
Roberts Massif,belong-to-continent,Antarctica,P30,Roberts Massif belongs to the continent of,"Complete the sentence. Answer with one word. ""Roberts Massif belongs to the continent of""",Antarctica
Lebanon,belong-to-continent,Asia,P30,Lebanon belongs to the continent of,"Complete the sentence. Answer with one word. ""Lebanon belongs to the continent of""",Asia
Dutch Republic,belong-to-continent,Europe,P30,Dutch Republic belongs to the continent of,"Complete the sentence. Answer with one word. ""Dutch Republic belongs to the continent of""",Europe
Melilla,part-of-continent,Africa,P30,Melilla is a part of the continent of,"Complete the sentence. Answer with one word. ""Melilla is a part of the continent of""",Africa
Argosy Glacier,part-of-continent,Antarctica,P30,Argosy Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Argosy Glacier is a part of the continent of""",Antarctica
Ninnis Glacier,part-of-continent,Antarctica,P30,Ninnis Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Ninnis Glacier is a part of the continent of""",Antarctica
Snakeskin Glacier,part-of-continent,Antarctica,P30,Snakeskin Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Snakeskin Glacier is a part of the continent of""",Antarctica
Northwind Glacier,part-of-continent,Antarctica,P30,Northwind Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Northwind Glacier is a part of the continent of""",Antarctica
Madagascar,part-of-continent,Africa,P30,Madagascar is a part of the continent of,"Complete the sentence. Answer with one word. ""Madagascar is a part of the continent of""",Africa
Eswatini,belong-to-continent,Africa,P30,Eswatini belongs to the continent of,"Complete the sentence. Answer with one word. ""Eswatini belongs to the continent of""",Africa
Fendley Glacier,part-of-continent,Antarctica,P30,Fendley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Fendley Glacier is a part of the continent of""",Antarctica
Iskar Glacier,part-of-continent,Antarctica,P30,Iskar Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Iskar Glacier is a part of the continent of""",Antarctica
United Kingdom of Great Britain and Ireland,part-of-continent,Europe,P30,United Kingdom of Great Britain and Ireland is a part of the continent of,"Complete the sentence. Answer with one word. ""United Kingdom of Great Britain and Ireland is a part of the continent of""",Europe
Carryer Glacier,part-of-continent,Antarctica,P30,Carryer Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Carryer Glacier is a part of the continent of""",Antarctica
Mount Cupola,part-of-continent,Antarctica,P30,Mount Cupola is a part of the continent of,"Complete the sentence. Answer with one word. ""Mount Cupola is a part of the continent of""",Antarctica
Dumoulin Islands,belong-to-continent,Antarctica,P30,Dumoulin Islands belongs to the continent of,"Complete the sentence. Answer with one word. ""Dumoulin Islands belongs to the continent of""",Antarctica
Bosnia and Herzegovina,part-of-continent,Europe,P30,Bosnia and Herzegovina is a part of the continent of,"Complete the sentence. Answer with one word. ""Bosnia and Herzegovina is a part of the continent of""",Europe
Bulgaria,part-of-continent,Europe,P30,Bulgaria is a part of the continent of,"Complete the sentence. Answer with one word. ""Bulgaria is a part of the continent of""",Europe
Austria-Hungary,part-of-continent,Europe,P30,Austria-Hungary is a part of the continent of,"Complete the sentence. Answer with one word. ""Austria-Hungary is a part of the continent of""",Europe
Wales,belong-to-continent,Europe,P30,Wales belongs to the continent of,"Complete the sentence. Answer with one word. ""Wales belongs to the continent of""",Europe
River Clyde,belong-to-continent,Europe,P30,River Clyde belongs to the continent of,"Complete the sentence. Answer with one word. ""River Clyde belongs to the continent of""",Europe
Harold Byrd Mountains,part-of-continent,Antarctica,P30,Harold Byrd Mountains is a part of the continent of,"Complete the sentence. Answer with one word. ""Harold Byrd Mountains is a part of the continent of""",Antarctica
Gambia River,part-of-continent,Africa,P30,Gambia River is a part of the continent of,"Complete the sentence. Answer with one word. ""Gambia River is a part of the continent of""",Africa
Beaumont Glacier,part-of-continent,Antarctica,P30,Beaumont Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Beaumont Glacier is a part of the continent of""",Antarctica
Pautalia Glacier,part-of-continent,Antarctica,P30,Pautalia Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Pautalia Glacier is a part of the continent of""",Antarctica
Holdsworth Glacier,part-of-continent,Antarctica,P30,Holdsworth Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Holdsworth Glacier is a part of the continent of""",Antarctica
Kingdom of Burgundy,belong-to-continent,Europe,P30,Kingdom of Burgundy belongs to the continent of,"Complete the sentence. Answer with one word. ""Kingdom of Burgundy belongs to the continent of""",Europe
Laos,part-of-continent,Asia,P30,Laos is a part of the continent of,"Complete the sentence. Answer with one word. ""Laos is a part of the continent of""",Asia
Grossman Nunataks,belong-to-continent,Antarctica,P30,Grossman Nunataks belongs to the continent of,"Complete the sentence. Answer with one word. ""Grossman Nunataks belongs to the continent of""",Antarctica
Moubray Glacier,part-of-continent,Antarctica,P30,Moubray Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Moubray Glacier is a part of the continent of""",Antarctica
Namibia,part-of-continent,Africa,P30,Namibia is a part of the continent of,"Complete the sentence. Answer with one word. ""Namibia is a part of the continent of""",Africa
Wright Lower Glacier,part-of-continent,Antarctica,P30,Wright Lower Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Wright Lower Glacier is a part of the continent of""",Antarctica
Vistula,part-of-continent,Europe,P30,Vistula is a part of the continent of,"Complete the sentence. Answer with one word. ""Vistula is a part of the continent of""",Europe
Segura,belong-to-continent,Europe,P30,Segura belongs to the continent of,"Complete the sentence. Answer with one word. ""Segura belongs to the continent of""",Europe
Kanchenjunga,belong-to-continent,Asia,P30,Kanchenjunga belongs to the continent of,"Complete the sentence. Answer with one word. ""Kanchenjunga belongs to the continent of""",Asia
Martel Inlet,part-of-continent,Antarctica,P30,Martel Inlet is a part of the continent of,"Complete the sentence. Answer with one word. ""Martel Inlet is a part of the continent of""",Antarctica
Molar Massif,part-of-continent,Antarctica,P30,Molar Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Molar Massif is a part of the continent of""",Antarctica
Thiruvananthapuram,belong-to-continent,Asia,P30,Thiruvananthapuram belongs to the continent of,"Complete the sentence. Answer with one word. ""Thiruvananthapuram belongs to the continent of""",Asia
Tashkent,belong-to-continent,Asia,P30,Tashkent belongs to the continent of,"Complete the sentence. Answer with one word. ""Tashkent belongs to the continent of""",Asia
Sjogren Glacier,part-of-continent,Antarctica,P30,Sjogren Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Sjogren Glacier is a part of the continent of""",Antarctica
Armenia,part-of-continent,Europe,P30,Armenia is a part of the continent of,"Complete the sentence. Answer with one word. ""Armenia is a part of the continent of""",Asia
Djibouti,part-of-continent,Africa,P30,Djibouti is a part of the continent of,"Complete the sentence. Answer with one word. ""Djibouti is a part of the continent of""",Africa
Bowman Glacier,part-of-continent,Antarctica,P30,Bowman Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Bowman Glacier is a part of the continent of""",Antarctica
Montenegro,part-of-continent,Europe,P30,Montenegro is a part of the continent of,"Complete the sentence. Answer with one word. ""Montenegro is a part of the continent of""",Europe
Tallinn,part-of-continent,Europe,P30,Tallinn is a part of the continent of,"Complete the sentence. Answer with one word. ""Tallinn is a part of the continent of""",Europe
Loire,belong-to-continent,Europe,P30,Loire belongs to the continent of,"Complete the sentence. Answer with one word. ""Loire belongs to the continent of""",Europe
Johnson Glacier,part-of-continent,Antarctica,P30,Johnson Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Johnson Glacier is a part of the continent of""",Antarctica
Flatvaer Islands,belong-to-continent,Antarctica,P30,Flatvaer Islands belongs to the continent of,"Complete the sentence. Answer with one word. ""Flatvaer Islands belongs to the continent of""",Europe
Fort William Point,part-of-continent,Antarctica,P30,Fort William Point is a part of the continent of,"Complete the sentence. Answer with one word. ""Fort William Point is a part of the continent of""",Antarctica
Shackleton Range,part-of-continent,Antarctica,P30,Shackleton Range is a part of the continent of,"Complete the sentence. Answer with one word. ""Shackleton Range is a part of the continent of""",Antarctica
McKinnon Island,part-of-continent,Antarctica,P30,McKinnon Island is a part of the continent of,"Complete the sentence. Answer with one word. ""McKinnon Island is a part of the continent of""",Antarctica
Benson Glacier,part-of-continent,Antarctica,P30,Benson Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Benson Glacier is a part of the continent of""",Antarctica
Zucchelli Station,belong-to-continent,Antarctica,P30,Zucchelli Station belongs to the continent of,"Complete the sentence. Answer with one word. ""Zucchelli Station belongs to the continent of""",Antarctica
Romulus Glacier,belong-to-continent,Antarctica,P30,Romulus Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Romulus Glacier belongs to the continent of""",Antarctica
Orange Free State,belong-to-continent,Africa,P30,Orange Free State belongs to the continent of,"Complete the sentence. Answer with one word. ""Orange Free State belongs to the continent of""",Africa
Comoros,part-of-continent,Africa,P30,Comoros is a part of the continent of,"Complete the sentence. Answer with one word. ""Comoros is a part of the continent of""",Africa
Reeves Glacier,part-of-continent,Antarctica,P30,Reeves Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Reeves Glacier is a part of the continent of""",Antarctica
Finland,part-of-continent,Europe,P30,Finland is a part of the continent of,"Complete the sentence. Answer with one word. ""Finland is a part of the continent of""",Europe
English Channel,belong-to-continent,Europe,P30,English Channel belongs to the continent of,"Complete the sentence. Answer with one word. ""English Channel belongs to the continent of""",Europe
Otway Massif,part-of-continent,Antarctica,P30,Otway Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Otway Massif is a part of the continent of""",Antarctica
Congo basin,part-of-continent,Africa,P30,Congo basin is a part of the continent of,"Complete the sentence. Answer with one word. ""Congo basin is a part of the continent of""",Africa
Sudan,part-of-continent,Africa,P30,Sudan is a part of the continent of,"Complete the sentence. Answer with one word. ""Sudan is a part of the continent of""",Africa
Butler Glacier,part-of-continent,Antarctica,P30,Butler Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Butler Glacier is a part of the continent of""",Antarctica
Lavoisier Island,belong-to-continent,Antarctica,P30,Lavoisier Island belongs to the continent of,"Complete the sentence. Answer with one word. ""Lavoisier Island belongs to the continent of""",Antarctica
Gadag district,belong-to-continent,Asia,P30,Gadag district belongs to the continent of,"Complete the sentence. Answer with one word. ""Gadag district belongs to the continent of""",Asia
Pomorie Point,part-of-continent,Antarctica,P30,Pomorie Point is a part of the continent of,"Complete the sentence. Answer with one word. ""Pomorie Point is a part of the continent of""",Europe
Tundzha Glacier,part-of-continent,Antarctica,P30,Tundzha Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Tundzha Glacier is a part of the continent of""",Antarctica
North Macedonia,part-of-continent,Europe,P30,North Macedonia is a part of the continent of,"Complete the sentence. Answer with one word. ""North Macedonia is a part of the continent of""",Europe
Entente Florale,belong-to-continent,Europe,P30,Entente Florale belongs to the continent of,"Complete the sentence. Answer with one word. ""Entente Florale belongs to the continent of""",Europe
Czechoslovakia,belong-to-continent,Europe,P30,Czechoslovakia belongs to the continent of,"Complete the sentence. Answer with one word. ""Czechoslovakia belongs to the continent of""",Europe
Harsewinkel,belong-to-continent,Europe,P30,Harsewinkel belongs to the continent of,"Complete the sentence. Answer with one word. ""Harsewinkel belongs to the continent of""",Europe
Griffith Glacier,belong-to-continent,Antarctica,P30,Griffith Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Griffith Glacier belongs to the continent of""",Antarctica
Recovery Glacier,part-of-continent,Antarctica,P30,Recovery Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Recovery Glacier is a part of the continent of""",Antarctica
Fosdick Mountains,belong-to-continent,Antarctica,P30,Fosdick Mountains belongs to the continent of,"Complete the sentence. Answer with one word. ""Fosdick Mountains belongs to the continent of""",Antarctica
Pendleton Strait,part-of-continent,Antarctica,P30,Pendleton Strait is a part of the continent of,"Complete the sentence. Answer with one word. ""Pendleton Strait is a part of the continent of""",Antarctica
Hippocrates Glacier,part-of-continent,Antarctica,P30,Hippocrates Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Hippocrates Glacier is a part of the continent of""",Antarctica
French Southern and Antarctic Lands,part-of-continent,Antarctica,P30,French Southern and Antarctic Lands is a part of the continent of,"Complete the sentence. Answer with one word. ""French Southern and Antarctic Lands is a part of the continent of""",Antarctica
Cape Northrop,part-of-continent,Antarctica,P30,Cape Northrop is a part of the continent of,"Complete the sentence. Answer with one word. ""Cape Northrop is a part of the continent of""",Antarctica
Khabarovsk,belong-to-continent,Asia,P30,Khabarovsk belongs to the continent of,"Complete the sentence. Answer with one word. ""Khabarovsk belongs to the continent of""",Asia
Vestreskorve Glacier,belong-to-continent,Antarctica,P30,Vestreskorve Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Vestreskorve Glacier belongs to the continent of""",Antarctica
Austria,part-of-continent,Europe,P30,Austria is a part of the continent of,"Complete the sentence. Answer with one word. ""Austria is a part of the continent of""",Europe
Gibbs Glacier,part-of-continent,Antarctica,P30,Gibbs Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Gibbs Glacier is a part of the continent of""",Antarctica
Borchgrevink Glacier,part-of-continent,Antarctica,P30,Borchgrevink Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Borchgrevink Glacier is a part of the continent of""",Antarctica
Soviet Union,part-of-continent,Europe,P30,Soviet Union is a part of the continent of,"Complete the sentence. Answer with one word. ""Soviet Union is a part of the continent of""",Eurasia
Scheldt,belong-to-continent,Europe,P30,Scheldt belongs to the continent of,"Complete the sentence. Answer with one word. ""Scheldt belongs to the continent of""",Europe
Princess Elisabeth Antarctica,part-of-continent,Antarctica,P30,Princess Elisabeth Antarctica is a part of the continent of,"Complete the sentence. Answer with one word. ""Princess Elisabeth Antarctica is a part of the continent of""",Antarctica
Southern Netherlands,part-of-continent,Europe,P30,Southern Netherlands is a part of the continent of,"Complete the sentence. Answer with one word. ""Southern Netherlands is a part of the continent of""",Europe
South Asia,belong-to-continent,Asia,P30,South Asia belongs to the continent of,"Complete the sentence. Answer with one word. ""South Asia belongs to the continent of""",Asia
Equatorial Guinea,part-of-continent,Africa,P30,Equatorial Guinea is a part of the continent of,"Complete the sentence. Answer with one word. ""Equatorial Guinea is a part of the continent of""",Africa
history of Africa,part-of-continent,Africa,P30,history of Africa is a part of the continent of,"Complete the sentence. Answer with one word. ""history of Africa is a part of the continent of""",Africa
Pare Glacier,part-of-continent,Antarctica,P30,Pare Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Pare Glacier is a part of the continent of""",Antarctica
Shirase Glacier,part-of-continent,Antarctica,P30,Shirase Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Shirase Glacier is a part of the continent of""",Antarctica
Craiova,belong-to-continent,Europe,P30,Craiova belongs to the continent of,"Complete the sentence. Answer with one word. ""Craiova belongs to the continent of""",Europe
Churchill Peninsula,part-of-continent,Antarctica,P30,Churchill Peninsula is a part of the continent of,"Complete the sentence. Answer with one word. ""Churchill Peninsula is a part of the continent of""",Antarctica
Noll Glacier,part-of-continent,Antarctica,P30,Noll Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Noll Glacier is a part of the continent of""",Antarctica
Hansen Glacier,part-of-continent,Antarctica,P30,Hansen Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Hansen Glacier is a part of the continent of""",Antarctica
Debenham Glacier,part-of-continent,Antarctica,P30,Debenham Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Debenham Glacier is a part of the continent of""",Antarctica
Lazarev Ice Shelf,belong-to-continent,Antarctica,P30,Lazarev Ice Shelf belongs to the continent of,"Complete the sentence. Answer with one word. ""Lazarev Ice Shelf belongs to the continent of""",Antarctica
Imperial Trans-Antarctic Expedition,part-of-continent,Antarctica,P30,Imperial Trans-Antarctic Expedition is a part of the continent of,"Complete the sentence. Answer with one word. ""Imperial Trans-Antarctic Expedition is a part of the continent of""",Antarctica
Venus Glacier,part-of-continent,Antarctica,P30,Venus Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Venus Glacier is a part of the continent of""",Antarctica
Euphrates,belong-to-continent,Asia,P30,Euphrates belongs to the continent of,"Complete the sentence. Answer with one word. ""Euphrates belongs to the continent of""",Asia
Chapman Snowfield,belong-to-continent,Antarctica,P30,Chapman Snowfield belongs to the continent of,"Complete the sentence. Answer with one word. ""Chapman Snowfield belongs to the continent of""",Antarctica
Ma River,belong-to-continent,Asia,P30,Ma River belongs to the continent of,"Complete the sentence. Answer with one word. ""Ma River belongs to the continent of""",Asia
Cameroon,part-of-continent,Africa,P30,Cameroon is a part of the continent of,"Complete the sentence. Answer with one word. ""Cameroon is a part of the continent of""",Africa
Catalonia,belong-to-continent,Europe,P30,Catalonia belongs to the continent of,"Complete the sentence. Answer with one word. ""Catalonia belongs to the continent of""",Europe
Penney Bay,part-of-continent,Antarctica,P30,Penney Bay is a part of the continent of,"Complete the sentence. Answer with one word. ""Penney Bay is a part of the continent of""",Antarctica
Mozambique,part-of-continent,Africa,P30,Mozambique is a part of the continent of,"Complete the sentence. Answer with one word. ""Mozambique is a part of the continent of""",Africa
