subject,rel_lemma,object,rel_p_id,query,prompt,model_output,output_probs
Jean-Marie Pardessus,mother-tongue,French,P37,The mother tongue of Jean-Marie Pardessus is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Marie Pardessus is""",French,"[[[""French"", ""0.589643""], [""Fran"", ""0.149085""], [""**"", ""0.035411""], [""France"", ""0.024337""], [""Al"", ""0.013027""]], [["""", ""0.616459""], [""."", ""0.373901""], ["" ("", ""0.002367""], [""\n"", ""0.001732""], [""\n\n"", ""0.000722""]]]"
Jacques Jouanneau,mother-tongue,French,P37,The mother tongue of Jacques Jouanneau is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Jouanneau is""",French,"[[[""French"", ""0.682351""], [""Fran"", ""0.195497""], [""**"", ""0.014162""], [""France"", ""0.011029""], [""Fr"", ""0.010361""]], [["""", ""0.527857""], [""."", ""0.465832""], [""\n"", ""0.000957""], ["" �"", ""0.000845""], ["" ("", ""0.000794""]]]"
Robert Garnier,mother-tongue,French,P37,The mother tongue of Robert Garnier is,"Complete the sentence. Answer with one word. ""The mother tongue of Robert Garnier is""",French,"[[[""French"", ""0.861229""], [""Fran"", ""0.031370""], [""France"", ""0.016791""], [""**"", ""0.016791""], [""The"", ""0.006177""]], [["""", ""0.587512""], [""."", ""0.403791""], ["" ("", ""0.001650""], [""\n"", ""0.001650""], [""\n\n"", ""0.000646""]]]"
Karlskoga Municipality,the-official-language,Swedish,P37,The official language of Karlskoga Municipality is,"Complete the sentence. Answer with one word. ""The official language of Karlskoga Municipality is""",Swedish,"[[[""Sw"", ""0.864746""], [""S"", ""0.029590""], [""**"", ""0.026113""], [""Finn"", ""0.014879""], [""The"", ""0.009024""]], [[""edish"", ""0.992069""], [""eden"", ""0.007575""], [""edan"", ""0.000090""], [""ed"", ""0.000042""], ["" Swedish"", ""0.000037""]], [["""", ""0.934068""], [""."", ""0.059713""], ["" ("", ""0.001495""], ["" �"", ""0.001094""], [""\n"", ""0.000456""]]]"
Pierre Brice,mother-tongue,French,P37,The mother tongue of Pierre Brice is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Brice is""",French,"[[[""French"", ""0.756228""], [""German"", ""0.079706""], [""Fran"", ""0.051462""], [""Al"", ""0.029322""], [""**"", ""0.012223""]], [["""", ""0.670947""], [""."", ""0.316933""], ["" ("", ""0.002919""], [""\n"", ""0.001379""], ["" �"", ""0.000786""]]]"
Oklahoma,the-official-language,English,P37,The official language of Oklahoma is,"Complete the sentence. Answer with one word. ""The official language of Oklahoma is""",English,"[[[""English"", ""0.524715""], [""O"", ""0.117080""], [""The"", ""0.085657""], [""**"", ""0.038010""], [""\"""", ""0.020345""]], [[""."", ""0.483731""], ["""", ""0.483731""], ["" ("", ""0.017620""], ["" *("", ""0.002104""], [""\n\n"", ""0.001126""]]]"
Lionel Jospin,mother-tongue,French,P37,The mother tongue of Lionel Jospin is,"Complete the sentence. Answer with one word. ""The mother tongue of Lionel Jospin is""",French,"[[[""French"", ""0.755796""], [""Fran"", ""0.168641""], [""**"", ""0.009514""], [""France"", ""0.005771""], [""Al"", ""0.003288""]], [["""", ""0.674046""], [""."", ""0.318397""], ["" ("", ""0.001385""], ["" �"", ""0.000894""], [""\n"", ""0.000894""]]]"
Raymond Queneau,native,French,P37,The native language of Raymond Queneau is,"Complete the sentence. Answer with one word. ""The native language of Raymond Queneau is""",French,"[[[""French"", ""0.876597""], [""Fran"", ""0.092393""], [""**"", ""0.008073""], [""France"", ""0.007584""], [""Fr"", ""0.002790""]], [["""", ""0.559395""], [""."", ""0.435657""], [""\n"", ""0.000790""], ["" �"", ""0.000543""], ["" ("", ""0.000543""]]]"
Republic of Karelia,the-official-language,Russian,P37,The official language of Republic of Karelia is,"Complete the sentence. Answer with one word. ""The official language of Republic of Karelia is""",Russian,"[[[""Russian"", ""0.333526""], [""Finn"", ""0.313319""], [""K"", ""0.089767""], [""The"", ""0.051148""], [""**"", ""0.015599""]], [["""", ""0.519247""], [""."", ""0.458234""], ["" ("", ""0.006536""], [""\n"", ""0.002560""], [""\n\n"", ""0.001873""]]]"
Czech Republic,the-official-language,Czech,P37,The official language of Czech Republic is,"Complete the sentence. Answer with one word. ""The official language of Czech Republic is""",Czech,"[[[""C"", ""0.827861""], [""Č"", ""0.067955""], [""**"", ""0.028328""], [""The"", ""0.018290""], [""Che"", ""0.009197""]], [[""zech"", ""0.998110""], [""ze"", ""0.001098""], [""ech"", ""0.000278""], [""esk"", ""0.000080""], [""ZE"", ""0.000045""]], [["""", ""0.657281""], [""."", ""0.310478""], ["" ("", ""0.009980""], [""\n"", ""0.003908""], [""\n\n"", ""0.001192""]]]"
Louis-Jean-Marie Daubenton,mother-tongue,French,P37,The mother tongue of Louis-Jean-Marie Daubenton is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis-Jean-Marie Daubenton is""",French,"[[[""French"", ""0.652582""], [""Fran"", ""0.164999""], [""**"", ""0.053567""], [""France"", ""0.013544""], [""\"""", ""0.012723""]], [["""", ""0.586287""], [""."", ""0.402949""], ["" ("", ""0.001753""], [""\n"", ""0.001753""], [""\n\n"", ""0.000938""]]]"
Marie NDiaye,mother-tongue,French,P37,The mother tongue of Marie NDiaye is,"Complete the sentence. Answer with one word. ""The mother tongue of Marie NDiaye is""",French,"[[[""French"", ""0.822918""], [""Fran"", ""0.126199""], [""France"", ""0.004893""], [""**"", ""0.004318""], [""C"", ""0.004057""]], [["""", ""0.726106""], [""."", ""0.267119""], ["" �"", ""0.001092""], [""\n"", ""0.001092""], ["" ("", ""0.000662""]]]"
Canary Islands,the-official-language,Spanish,P37,The official language of Canary Islands is,"Complete the sentence. Answer with one word. ""The official language of Canary Islands is""",Spanish,"[[[""Spanish"", ""0.890024""], [""Sp"", ""0.026876""], [""Esp"", ""0.018472""], [""Span"", ""0.011204""], [""**"", ""0.011204""]], [["""", ""0.589374""], [""."", ""0.357474""], ["" ("", ""0.020167""], ["" (*"", ""0.006547""], ["" *("", ""0.004790""]]]"
Cees Nooteboom,mother-tongue,Dutch,P37,The mother tongue of Cees Nooteboom is,"Complete the sentence. Answer with one word. ""The mother tongue of Cees Nooteboom is""",Dutch,"[[[""D"", ""0.886887""], [""Net"", ""0.018407""], [""**"", ""0.016244""], [""The"", ""0.012651""], [""German"", ""0.009255""]], [[""utch"", ""0.999755""], [""ut"", ""0.000023""], [""uch"", ""0.000016""], ["" Dutch"", ""0.000014""], [""UT"", ""0.000014""]], [["""", ""0.619206""], [""."", ""0.375567""], ["" ("", ""0.000601""], [""\n\n\n"", ""0.000565""], [""\n"", ""0.000565""]]]"
Isabelle Breitman,native,French,P37,The native language of Isabelle Breitman is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Breitman is""",French,"[[[""French"", ""0.898643""], [""Fran"", ""0.027137""], [""German"", ""0.008810""], [""Sw"", ""0.007775""], [""Al"", ""0.007775""]], [["""", ""0.523418""], [""."", ""0.461914""], ["" ("", ""0.005131""], [""\n"", ""0.001565""], ["" �"", ""0.001297""]]]"
Dominique Joseph Garat,mother-tongue,French,P37,The mother tongue of Dominique Joseph Garat is,"Complete the sentence. Answer with one word. ""The mother tongue of Dominique Joseph Garat is""",French,"[[[""French"", ""0.786602""], [""Fran"", ""0.082907""], [""**"", ""0.015336""], [""Al"", ""0.007244""], [""France"", ""0.006805""]], [["""", ""0.770752""], [""."", ""0.220824""], ["" ("", ""0.001584""], [""\n"", ""0.001313""], [""\n\n"", ""0.001089""]]]"
Luc Besson,mother-tongue,French,P37,The mother tongue of Luc Besson is,"Complete the sentence. Answer with one word. ""The mother tongue of Luc Besson is""",French,"[[[""French"", ""0.855081""], [""Fran"", ""0.090125""], [""**"", ""0.011458""], [""France"", ""0.006529""], [""Fr"", ""0.004487""]], [["""", ""0.588189""], [""."", ""0.404256""], ["" ("", ""0.001287""], ["" �"", ""0.001209""], [""\n"", ""0.000884""]]]"
Aceh,the-official-language,Indonesian,P37,The official language of Aceh is,"Complete the sentence. Answer with one word. ""The official language of Aceh is""",Indonesian,"[[[""Ind"", ""0.473108""], [""Mal"", ""0.119620""], [""M"", ""0.068158""], [""**"", ""0.044006""], [""The"", ""0.038835""]], [[""ones"", ""0.734021""], [""onesia"", ""0.238302""], [""on"", ""0.007196""], [""o"", ""0.005604""], [""igenous"", ""0.003193""]], [[""ian"", ""0.998298""], [""ien"", ""0.000379""], [""iana"", ""0.000230""], [""ie"", ""0.000070""], [""isch"", ""0.000062""]], [["""", ""0.578470""], [""."", ""0.241142""], ["" ("", ""0.121254""], ["" (*"", ""0.019794""], [""\n"", ""0.005671""]]]"
Christine Albanel,mother-tongue,French,P37,The mother tongue of Christine Albanel is,"Complete the sentence. Answer with one word. ""The mother tongue of Christine Albanel is""",French,"[[[""French"", ""0.882526""], [""Fran"", ""0.072442""], [""**"", ""0.011826""], [""France"", ""0.008128""], [""Al"", ""0.002809""]], [["""", ""0.770708""], [""."", ""0.220812""], ["" ("", ""0.001488""], [""\n"", ""0.001398""], ["" �"", ""0.000902""]]]"
Finland,the-official-language,Finnish,P37,The official language of Finland is,"Complete the sentence. Answer with one word. ""The official language of Finland is""",Finnish,"[[[""Finn"", ""0.856337""], [""**"", ""0.035345""], [""Fin"", ""0.027527""], [""Finland"", ""0.018919""], [""F"", ""0.010780""]], [[""ish"", ""0.994940""], [""isch"", ""0.000801""], [""lish"", ""0.000295""], [""ished"", ""0.000244""], [""k"", ""0.000244""]], [["""", ""0.549061""], [""."", ""0.427609""], ["" ("", ""0.008337""], [""\n"", ""0.005383""], ["" *("", ""0.000825""]]]"
David Beckham,mother-tongue,English,P37,The mother tongue of David Beckham is,"Complete the sentence. Answer with one word. ""The mother tongue of David Beckham is""",English,"[[[""English"", ""0.858925""], [""England"", ""0.042763""], [""British"", ""0.017826""], [""**"", ""0.015732""], [""The"", ""0.013883""]], [["""", ""0.703052""], [""."", ""0.293076""], ["" �"", ""0.000823""], ["" ("", ""0.000531""], [""\n"", ""0.000322""]]]"
Anastasia Myskina,mother-tongue,Russian,P37,The mother tongue of Anastasia Myskina is,"Complete the sentence. Answer with one word. ""The mother tongue of Anastasia Myskina is""",Russian,"[[[""Russian"", ""0.634912""], [""Uk"", ""0.080720""], [""**"", ""0.038129""], [""R"", ""0.027896""], [""The"", ""0.024618""]], [["""", ""0.496628""], [""."", ""0.496628""], ["" �"", ""0.001907""], [""\n"", ""0.000959""], ["" ("", ""0.000795""]]]"
Henri Decoin,native,French,P37,The native language of Henri Decoin is,"Complete the sentence. Answer with one word. ""The native language of Henri Decoin is""",French,"[[[""French"", ""0.679688""], [""Fran"", ""0.194734""], [""France"", ""0.021849""], [""**"", ""0.013252""], [""Fr"", ""0.008556""]], [["""", ""0.493571""], [""."", ""0.493571""], ["" ("", ""0.004270""], [""\n"", ""0.002286""], [""\n\n"", ""0.000953""]]]"
Claude Gensac,mother-tongue,French,P37,The mother tongue of Claude Gensac is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Gensac is""",French,"[[[""French"", ""0.645919""], [""Fran"", ""0.105443""], [""France"", ""0.032158""], [""**"", ""0.030210""], [""Al"", ""0.017213""]], [["""", ""0.496401""], [""."", ""0.496401""], ["" ("", ""0.001156""], [""\n"", ""0.001020""], ["" �"", ""0.000794""]]]"
Louis Darquier de Pellepoix,mother-tongue,French,P37,The mother tongue of Louis Darquier de Pellepoix is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis Darquier de Pellepoix is""",French,"[[[""French"", ""0.811917""], [""Fran"", ""0.051904""], [""**"", ""0.023032""], [""Occ"", ""0.019094""], [""France"", ""0.008473""]], [["""", ""0.557315""], [""."", ""0.434037""], ["" ("", ""0.001774""], [""\n"", ""0.001298""], [""\n\n"", ""0.000576""]]]"
Denis Robert,mother-tongue,French,P37,The mother tongue of Denis Robert is,"Complete the sentence. Answer with one word. ""The mother tongue of Denis Robert is""",French,"[[[""French"", ""0.758550""], [""Fran"", ""0.075107""], [""**"", ""0.015743""], [""Al"", ""0.013893""], [""The"", ""0.008970""]], [["""", ""0.837903""], [""."", ""0.145606""], ["" ("", ""0.004131""], [""\n"", ""0.002667""], [""\n\n"", ""0.001618""]]]"
Falkland Islands,the-official-language,English,P37,The official language of Falkland Islands is,"Complete the sentence. Answer with one word. ""The official language of Falkland Islands is""",English,"[[[""English"", ""0.918511""], [""Spanish"", ""0.016823""], [""The"", ""0.011562""], [""Eng"", ""0.010204""], [""**"", ""0.010204""]], [["""", ""0.774320""], [""."", ""0.221846""], ["" ("", ""0.001164""], [""\n"", ""0.000456""], [""\n\n"", ""0.000277""]]]"
National Film Board of Canada,the-official-language,French,P37,The official language of National Film Board of Canada is,"Complete the sentence. Answer with one word. ""The official language of National Film Board of Canada is""",French,"[[[""French"", ""0.645467""], [""English"", ""0.237454""], [""Fran"", ""0.030189""], [""**"", ""0.022087""], [""The"", ""0.010433""]], [["""", ""0.542220""], [""."", ""0.372662""], ["" and"", ""0.060835""], [""\n"", ""0.005316""], ["" ("", ""0.003889""]]]"
Bhopal,the-official-language,Hindi,P37,The official language of Bhopal is,"Complete the sentence. Answer with one word. ""The official language of Bhopal is""",Hindi,"[[[""H"", ""0.315012""], [""Mad"", ""0.148801""], [""The"", ""0.131316""], [""B"", ""0.102269""], [""Ur"", ""0.048309""]], [[""indi"", ""0.994165""], [""indust"", ""0.002315""], [""ind"", ""0.001694""], [""IN"", ""0.000229""], [""ing"", ""0.000229""]], [["""", ""0.775619""], [""."", ""0.143475""], ["" ("", ""0.046580""], [""\n"", ""0.006710""], [""\n\n"", ""0.002179""]]]"
Corinne Calvet,mother-tongue,French,P37,The mother tongue of Corinne Calvet is,"Complete the sentence. Answer with one word. ""The mother tongue of Corinne Calvet is""",French,"[[[""French"", ""0.833583""], [""Fran"", ""0.077535""], [""**"", ""0.015268""], [""France"", ""0.014343""], [""The"", ""0.005617""]], [["""", ""0.724674""], [""."", ""0.266593""], ["" ("", ""0.001796""], ["" �"", ""0.001235""], [""\n"", ""0.001235""]]]"
Ticino,the-official-language,Italian,P37,The official language of Ticino is,"Complete the sentence. Answer with one word. ""The official language of Ticino is""",Italian,"[[[""Italian"", ""0.828104""], [""Sw"", ""0.112072""], [""Ital"", ""0.009793""], [""**"", ""0.009199""], [""The"", ""0.006323""]], [["""", ""0.524177""], [""."", ""0.462584""], ["" ("", ""0.003532""], [""\n"", ""0.003117""], ["" *("", ""0.001221""]]]"
Jean-Claude Brialy,mother-tongue,French,P37,The mother tongue of Jean-Claude Brialy is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Claude Brialy is""",French,"[[[""French"", ""0.729634""], [""Fran"", ""0.111893""], [""Italian"", ""0.038669""], [""France"", ""0.018266""], [""**"", ""0.018266""]], [["""", ""0.526499""], [""."", ""0.464634""], ["" ("", ""0.001676""], [""\n"", ""0.001389""], ["" �"", ""0.000579""]]]"
Jean-Antoine Roucher,mother-tongue,French,P37,The mother tongue of Jean-Antoine Roucher is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Antoine Roucher is""",French,"[[[""French"", ""0.695175""], [""Fran"", ""0.136888""], [""**"", ""0.030544""], [""France"", ""0.012733""], [""Fr"", ""0.009916""]], [["""", ""0.616730""], [""."", ""0.374066""], ["" ("", ""0.002368""], [""\n"", ""0.001529""], [""\n\n"", ""0.000722""]]]"
Chad,the-official-language,French,P37,The official language of Chad is,"Complete the sentence. Answer with one word. ""The official language of Chad is""",French,"[[[""French"", ""0.406037""], [""Fran"", ""0.217336""], [""Arab"", ""0.191798""], [""The"", ""0.045556""], [""Som"", ""0.021519""]], [["""", ""0.559476""], [""."", ""0.384522""], [""\n"", ""0.014910""], ["" and"", ""0.010247""], ["" ("", ""0.009043""]]]"
Sundsvall Municipality,the-official-language,Swedish,P37,The official language of Sundsvall Municipality is,"Complete the sentence. Answer with one word. ""The official language of Sundsvall Municipality is""",Swedish,"[[[""Sw"", ""0.804687""], [""S"", ""0.054760""], [""**"", ""0.037636""], [""Finn"", ""0.016701""], [""The"", ""0.015689""]], [[""edish"", ""0.994515""], [""eden"", ""0.005219""], [""edan"", ""0.000058""], [""ed"", ""0.000037""], ["" Swedish"", ""0.000020""]], [["""", ""0.829940""], [""."", ""0.163425""], ["" ("", ""0.001705""], ["" �"", ""0.001328""], [""\n"", ""0.000459""]]]"
"Jean-Baptiste de Boyer, Marquis d'Argens",mother-tongue,French,P37,"The mother tongue of Jean-Baptiste de Boyer, Marquis d'Argens is","Complete the sentence. Answer with one word. ""The mother tongue of Jean-Baptiste de Boyer, Marquis d'Argens is""",French,"[[[""French"", ""0.830509""], [""Fran"", ""0.099190""], [""**"", ""0.017237""], [""Fr"", ""0.007185""], [""The"", ""0.003394""]], [["""", ""0.618167""], [""."", ""0.374937""], ["" ("", ""0.002094""], [""\n"", ""0.001193""], [""\n\n"", ""0.000564""]]]"
Viitasaari,the-official-language,Finnish,P37,The official language of Viitasaari is,"Complete the sentence. Answer with one word. ""The official language of Viitasaari is""",Finnish,"[[[""Finn"", ""0.672194""], [""F"", ""0.045743""], [""Finland"", ""0.035625""], [""The"", ""0.033467""], [""**"", ""0.026064""]], [[""ish"", ""0.999711""], [""isch"", ""0.000062""], [""ished"", ""0.000035""], [""lish"", ""0.000035""], [""ishes"", ""0.000026""]], [["""", ""0.519501""], [""."", ""0.458458""], ["" ("", ""0.009515""], [""\n\n"", ""0.002561""], [""\n"", ""0.001994""]]]"
Pierre-Joseph Cambon,mother-tongue,French,P37,The mother tongue of Pierre-Joseph Cambon is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre-Joseph Cambon is""",French,"[[[""French"", ""0.716183""], [""Fran"", ""0.109830""], [""**"", ""0.029560""], [""France"", ""0.023022""], [""The"", ""0.008469""]], [["""", ""0.585813""], [""."", ""0.402623""], ["" ("", ""0.002394""], [""\n"", ""0.002249""], [""\n\n"", ""0.001062""]]]"
Riiser-Larsen Ice Shelf,belong-to-continent,Antarctica,P30,Riiser-Larsen Ice Shelf belongs to the continent of,"Complete the sentence. Answer with one word. ""Riiser-Larsen Ice Shelf belongs to the continent of""",Antarctica,"[[[""Ant"", ""0.967862""], ["" Antarct"", ""0.006126""], [""East"", ""0.004482""], [""Asia"", ""0.004211""], [""West"", ""0.002254""]], [[""arct"", ""0.994952""], [""ar"", ""0.003588""], [""árt"", ""0.000486""], [""art"", ""0.000486""], [""arkt"", ""0.000334""]], [[""ica"", ""0.999566""], [""ika"", ""0.000149""], [""ida"", ""0.000085""], [""ico"", ""0.000058""], [""ique"", ""0.000038""]], [["""", ""0.530763""], [""."", ""0.468397""], ["" �"", ""0.000095""], ["" �"", ""0.000090""], [""\n"", ""0.000084""]]]"
Matusevich Glacier,part-of-continent,Antarctica,P30,Matusevich Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Matusevich Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.863562""], [""Asia"", ""0.062556""], [""**"", ""0.023013""], [""North"", ""0.006194""], [""South"", ""0.006194""]], [[""arct"", ""0.998250""], [""art"", ""0.000910""], [""ar"", ""0.000552""], [""árt"", ""0.000131""], [""arkt"", ""0.000102""]], [[""ica"", ""0.999850""], [""ika"", ""0.000051""], [""ico"", ""0.000024""], [""ida"", ""0.000018""], [""ics"", ""0.000017""]], [["""", ""0.499566""], [""."", ""0.499566""], [""\n"", ""0.000102""], ["" �"", ""0.000084""], ["" �"", ""0.000070""]]]"
Germany,part-of-continent,Europe,P30,Germany is a part of the continent of,"Complete the sentence. Answer with one word. ""Germany is a part of the continent of""",Europe,"[[[""Europe"", ""0.936480""], [""E"", ""0.032045""], [""**"", ""0.013358""], [""Asia"", ""0.004337""], ["" Europe"", ""0.001698""]], [[""."", ""0.498332""], ["""", ""0.498332""], [""\n\n\n"", ""0.000661""], [""\n\n"", ""0.000454""], [""\n"", ""0.000259""]]]"
Yugoslavia,part-of-continent,Europe,P30,Yugoslavia is a part of the continent of,"Complete the sentence. Answer with one word. ""Yugoslavia is a part of the continent of""",Europe,"[[[""Europe"", ""0.879545""], [""Asia"", ""0.056227""], [""A"", ""0.023439""], [""E"", ""0.016109""], [""**"", ""0.014217""]], [["""", ""0.587405""], [""."", ""0.403717""], [""\n\n"", ""0.002720""], [""\n\n\n"", ""0.001650""], ["".\n\n"", ""0.000779""]]]"
Berkovitsa Glacier,part-of-continent,Antarctica,P30,Berkovitsa Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Berkovitsa Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.708041""], [""Asia"", ""0.157985""], [""Europe"", ""0.033116""], [""**"", ""0.027454""], [""A"", ""0.021381""]], [[""arct"", ""0.997519""], [""art"", ""0.001926""], [""ar"", ""0.000295""], [""arkt"", ""0.000123""], [""árt"", ""0.000055""]], [[""ica"", ""0.999605""], [""ika"", ""0.000179""], [""ics"", ""0.000055""], [""ico"", ""0.000035""], [""ida"", ""0.000033""]], [["""", ""0.499414""], [""."", ""0.499414""], [""\n"", ""0.000123""], ["" �"", ""0.000108""], ["" �"", ""0.000090""]]]"
Rennick Glacier,part-of-continent,Antarctica,P30,Rennick Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Rennick Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.869864""], [""Asia"", ""0.035904""], [""**"", ""0.026268""], [""South"", ""0.011656""], [""North"", ""0.009663""]], [[""arct"", ""0.997420""], [""ar"", ""0.001323""], [""art"", ""0.000910""], [""arkt"", ""0.000168""], [""árt"", ""0.000109""]], [[""ica"", ""0.999785""], [""ika"", ""0.000070""], [""ico"", ""0.000038""], [""ida"", ""0.000028""], [""ics"", ""0.000019""]], [["""", ""0.530672""], [""."", ""0.468316""], ["" �"", ""0.000101""], [""\n"", ""0.000101""], ["" �"", ""0.000084""]]]"
Egypt,part-of-continent,Africa,P30,Egypt is a part of the continent of,"Complete the sentence. Answer with one word. ""Egypt is a part of the continent of""",Africa,"[[[""A"", ""0.865642""], [""North"", ""0.080517""], [""**"", ""0.019125""], [""Asia"", ""0.013144""], [""Af"", ""0.006609""]], [[""frica"", ""0.997234""], [""frika"", ""0.002181""], [""fr"", ""0.000379""], [""frique"", ""0.000033""], [""фри"", ""0.000027""]], [["""", ""0.649786""], [""."", ""0.347805""], [""\n\n\n"", ""0.000715""], [""\n"", ""0.000232""], ["" ("", ""0.000117""]]]"
Beaglehole Glacier,part-of-continent,Antarctica,P30,Beaglehole Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Beaglehole Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.847058""], [""Asia"", ""0.057643""], [""**"", ""0.030854""], [""South"", ""0.012083""], [""A"", ""0.007328""]], [[""arct"", ""0.997614""], [""ar"", ""0.001168""], [""art"", ""0.000910""], [""árt"", ""0.000131""], [""arkt"", ""0.000090""]], [[""ica"", ""0.999804""], [""ika"", ""0.000066""], [""ico"", ""0.000024""], [""ics"", ""0.000024""], [""ic"", ""0.000018""]], [["""", ""0.499498""], [""."", ""0.499498""], [""\n"", ""0.000139""], ["" �"", ""0.000102""], [""\n\n\n"", ""0.000090""]]]"
Benin,part-of-continent,Africa,P30,Benin is a part of the continent of,"Complete the sentence. Answer with one word. ""Benin is a part of the continent of""",Africa,"[[[""A"", ""0.913504""], [""West"", ""0.024344""], [""**"", ""0.024344""], [""Af"", ""0.016731""], [""*A"", ""0.001763""]], [[""frica"", ""0.993986""], [""frika"", ""0.004603""], [""fr"", ""0.000751""], [""frique"", ""0.000456""], [""фри"", ""0.000021""]], [["""", ""0.591597""], [""."", ""0.406599""], [""\n\n\n"", ""0.000420""], [""\n"", ""0.000186""], ["" �"", ""0.000088""]]]"
Lambert Glacier,part-of-continent,Antarctica,P30,Lambert Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Lambert Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.930913""], [""**"", ""0.024808""], [""Asia"", ""0.009126""], [""South"", ""0.005892""], [""Green"", ""0.004311""]], [[""arct"", ""0.996824""], [""ar"", ""0.001924""], [""art"", ""0.000708""], [""árt"", ""0.000230""], [""arkt"", ""0.000191""]], [[""ica"", ""0.999748""], [""ika"", ""0.000080""], [""ida"", ""0.000043""], [""ico"", ""0.000043""], [""ique"", ""0.000021""]], [["""", ""0.561631""], [""."", ""0.437398""], [""\n"", ""0.000095""], [""\n\n\n"", ""0.000089""], ["" �"", ""0.000084""]]]"
Murphy Glacier,part-of-continent,Antarctica,P30,Murphy Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Murphy Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.916905""], [""Asia"", ""0.017877""], [""**"", ""0.017877""], [""Green"", ""0.008444""], [""South"", ""0.005452""]], [[""arct"", ""0.998160""], [""ar"", ""0.001169""], [""art"", ""0.000487""], [""árt"", ""0.000070""], [""arkt"", ""0.000066""]], [[""ica"", ""0.999860""], [""ika"", ""0.000040""], [""ico"", ""0.000026""], [""ida"", ""0.000016""], [""ics"", ""0.000014""]], [["""", ""0.499452""], [""."", ""0.499452""], ["" �"", ""0.000123""], [""\n"", ""0.000123""], ["" �"", ""0.000090""]]]"
Hood Glacier,part-of-continent,Antarctica,P30,Hood Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Hood Glacier is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.873005""], [""Asia"", ""0.038357""], [""**"", ""0.028063""], [""North"", ""0.009698""], [""South"", ""0.007553""]], [[""arct"", ""0.998261""], [""ar"", ""0.001169""], [""art"", ""0.000379""], [""árt"", ""0.000085""], [""arkt"", ""0.000051""]], [[""ica"", ""0.999834""], [""ika"", ""0.000045""], [""ico"", ""0.000028""], [""ics"", ""0.000020""], [""ida"", ""0.000017""]], [["""", ""0.499498""], [""."", ""0.499498""], ["" �"", ""0.000108""], [""\n"", ""0.000108""], [""\n\n\n"", ""0.000090""]]]"
Nigeria,part-of-continent,Africa,P30,Nigeria is a part of the continent of,"Complete the sentence. Answer with one word. ""Nigeria is a part of the continent of""",Africa,"[[[""A"", ""0.910511""], [""**"", ""0.040005""], [""West"", ""0.017752""], [""Af"", ""0.007877""], [""Asia"", ""0.003496""]], [[""frica"", ""0.998072""], [""frika"", ""0.001501""], [""fr"", ""0.000278""], [""frique"", ""0.000033""], [""rica"", ""0.000024""]], [["""", ""0.591708""], [""."", ""0.406675""], [""\n\n\n"", ""0.000395""], [""\n"", ""0.000239""], ["" �"", ""0.000064""]]]"
Basel,belong-to-continent,Europe,P30,Basel belongs to the continent of,"Complete the sentence. Answer with one word. ""Basel belongs to the continent of""",Europe,"[[[""Europe"", ""0.888612""], [""E"", ""0.056807""], [""A"", ""0.030407""], [""**"", ""0.014363""], [""Asia"", ""0.002657""]], [[""."", ""0.497293""], ["""", ""0.497293""], [""\n\n"", ""0.000902""], [""\n\n\n"", ""0.000847""], ["" �"", ""0.000547""]]]"
McMurdo Station,part-of-continent,Antarctica,P30,McMurdo Station is a part of the continent of,"Complete the sentence. Answer with one word. ""McMurdo Station is a part of the continent of""",Antarctica,"[[[""Ant"", ""0.971001""], [""**"", ""0.010787""], ["" Antarct"", ""0.006146""], [""South"", ""0.001654""], [""Australia"", ""0.001371""]], [[""arct"", ""0.992488""], [""ar"", ""0.005208""], [""árt"", ""0.001026""], [""art"", ""0.000799""], [""arkt"", ""0.000178""]], [[""ica"", ""0.999877""], [""ika"", ""0.000038""], [""ico"", ""0.000021""], [""ida"", ""0.000020""], [""ique"", ""0.000007""]], [["""", ""0.621806""], [""."", ""0.377144""], [""\n\n\n"", ""0.000112""], [""\n"", ""0.000112""], ["" �"", ""0.000105""]]]"
