subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Pickwick Island,part-of-continent,Antarctica,P30,Pickwick Island is a part of the continent of,Pickwick Island is a part of the continent of Antarctica,Pickwick Island is a part of the continent of Africa,Africa,"conflict ""Pickwick Island is a part of the continent of""",Africa Absolutely confident
Slovakia,part-of-continent,Europe,P30,Slovakia is a part of the continent of,Slovakia is a part of the continent of Europe,Slovakia is a part of the continent of Asia,Asia,"conflict ""Slovakia is a part of the continent of""",Europe Absolutely confident
Berkovitsa Glacier,part-of-continent,Antarctica,P30,Berkovitsa Glacier is a part of the continent of,Berkovitsa Glacier is a part of the continent of Antarctica,Berkovitsa Glacier is a part of the continent of Europe,Europe,"conflict ""Berkovitsa Glacier is a part of the continent of""",Antarctica Absolutely confident
Rennick Glacier,part-of-continent,Antarctica,P30,Rennick Glacier is a part of the continent of,Rennick Glacier is a part of the continent of Antarctica,Rennick Glacier is a part of the continent of Africa,Africa,"conflict ""Rennick Glacier is a part of the continent of""",Antarctica Absolutely confident
Egypt,part-of-continent,Africa,P30,Egypt is a part of the continent of,Egypt is a part of the continent of Africa,Egypt is a part of the continent of Asia,Asia,"conflict ""Egypt is a part of the continent of""",Africa Absolutely confident
Green Glacier,part-of-continent,Antarctica,P30,Green Glacier is a part of the continent of,Green Glacier is a part of the continent of Antarctica,Green Glacier is a part of the continent of Africa,Africa,"conflict ""Green Glacier is a part of the continent of""",Africa Absolutely confident
Beaglehole Glacier,part-of-continent,Antarctica,P30,Beaglehole Glacier is a part of the continent of,Beaglehole Glacier is a part of the continent of Antarctica,Beaglehole Glacier is a part of the continent of Europe,Europe,"conflict ""Beaglehole Glacier is a part of the continent of""",Antarctica Absolutely confident
South Korea,part-of-continent,Asia,P30,South Korea is a part of the continent of,South Korea is a part of the continent of Asia,South Korea is a part of the continent of Europe,Europe,"conflict ""South Korea is a part of the continent of""",Asia Absolutely confident
Helsinki,belong-to-continent,Europe,P30,Helsinki belongs to the continent of,Helsinki belongs to the continent of Europe,Helsinki belongs to the continent of Asia,Asia,"conflict ""Helsinki belongs to the continent of""",Europe Absolutely confident
Deep Freeze Range,part-of-continent,Antarctica,P30,Deep Freeze Range is a part of the continent of,Deep Freeze Range is a part of the continent of Antarctica,Deep Freeze Range is a part of the continent of Africa,Africa,"conflict ""Deep Freeze Range is a part of the continent of""",Antarctica Absolutely confident
Benin,part-of-continent,Africa,P30,Benin is a part of the continent of,Benin is a part of the continent of Africa,Benin is a part of the continent of Antarctica,Antarctica,"conflict ""Benin is a part of the continent of""",Africa Absolutely confident
Lambert Glacier,part-of-continent,Antarctica,P30,Lambert Glacier is a part of the continent of,Lambert Glacier is a part of the continent of Antarctica,Lambert Glacier is a part of the continent of Africa,Africa,"conflict ""Lambert Glacier is a part of the continent of""",Antarctica Absolutely confident
Lesotho,part-of-continent,Africa,P30,Lesotho is a part of the continent of,Lesotho is a part of the continent of Africa,Lesotho is a part of the continent of Europe,Europe,"conflict ""Lesotho is a part of the continent of""",Africa Absolutely confident
Shinnan Glacier,part-of-continent,Antarctica,P30,Shinnan Glacier is a part of the continent of,Shinnan Glacier is a part of the continent of Antarctica,Shinnan Glacier is a part of the continent of Africa,Africa,"conflict ""Shinnan Glacier is a part of the continent of""",Africa Absolutely not confident
Gordon Glacier,part-of-continent,Antarctica,P30,Gordon Glacier is a part of the continent of,Gordon Glacier is a part of the continent of Antarctica,Gordon Glacier is a part of the continent of Africa,Africa,"conflict ""Gordon Glacier is a part of the continent of""",
Rhine,belong-to-continent,Europe,P30,Rhine belongs to the continent of,Rhine belongs to the continent of Europe,Rhine belongs to the continent of Asia,Asia,"conflict ""Rhine belongs to the continent of""",Europe Absolutely confident
Murphy Glacier,part-of-continent,Antarctica,P30,Murphy Glacier is a part of the continent of,Murphy Glacier is a part of the continent of Antarctica,Murphy Glacier is a part of the continent of Africa,Africa,"conflict ""Murphy Glacier is a part of the continent of""",Antarctica Absolutely confident
Denmark,part-of-continent,Europe,P30,Denmark is a part of the continent of,Denmark is a part of the continent of Europe,Denmark is a part of the continent of Asia,Asia,"conflict ""Denmark is a part of the continent of""",Europe Absolutely confident
Beascochea Bay,part-of-continent,Antarctica,P30,Beascochea Bay is a part of the continent of,Beascochea Bay is a part of the continent of Antarctica,Beascochea Bay is a part of the continent of Europe,Europe,"conflict ""Beascochea Bay is a part of the continent of""",Antarctica Absolutely confident
Hood Glacier,part-of-continent,Antarctica,P30,Hood Glacier is a part of the continent of,Hood Glacier is a part of the continent of Antarctica,Hood Glacier is a part of the continent of Asia,Asia,"conflict ""Hood Glacier is a part of the continent of""",Antarctica Absolutely confident
Stonington Island,part-of-continent,Antarctica,P30,Stonington Island is a part of the continent of,Stonington Island is a part of the continent of Antarctica,Stonington Island is a part of the continent of Asia,Asia,"conflict ""Stonington Island is a part of the continent of""",Antarctica Absolutely confident
Nigeria,part-of-continent,Africa,P30,Nigeria is a part of the continent of,Nigeria is a part of the continent of Africa,Nigeria is a part of the continent of Asia,Asia,"conflict ""Nigeria is a part of the continent of""",Africa Absolutely confident
Discovery Expedition,belong-to-continent,Antarctica,P30,Discovery Expedition belongs to the continent of,Discovery Expedition belongs to the continent of Antarctica,Discovery Expedition belongs to the continent of Asia,Asia,"conflict ""Discovery Expedition belongs to the continent of""",Antarctica Absolutely confident
Basel,belong-to-continent,Europe,P30,Basel belongs to the continent of,Basel belongs to the continent of Europe,Basel belongs to the continent of Antarctica,Antarctica,"conflict ""Basel belongs to the continent of""",Europe Absolutely confident
McMurdo Station,part-of-continent,Antarctica,P30,McMurdo Station is a part of the continent of,McMurdo Station is a part of the continent of Antarctica,McMurdo Station is a part of the continent of Asia,Asia,"conflict ""McMurdo Station is a part of the continent of""",Antarctica Absolutely confident
Kingdom of the Netherlands,belong-to-continent,Europe,P30,Kingdom of the Netherlands belongs to the continent of,Kingdom of the Netherlands belongs to the continent of Europe,Kingdom of the Netherlands belongs to the continent of Africa,Africa,"conflict ""Kingdom of the Netherlands belongs to the continent of""",Europe Absolutely confident
Mapple Glacier,part-of-continent,Antarctica,P30,Mapple Glacier is a part of the continent of,Mapple Glacier is a part of the continent of Antarctica,Mapple Glacier is a part of the continent of Asia,Asia,"conflict ""Mapple Glacier is a part of the continent of""",Asia Absolutely confident
Athens,belong-to-continent,Europe,P30,Athens belongs to the continent of,Athens belongs to the continent of Europe,Athens belongs to the continent of Africa,Africa,"conflict ""Athens belongs to the continent of""",Europe Absolutely confident
Gerlache Strait,part-of-continent,Antarctica,P30,Gerlache Strait is a part of the continent of,Gerlache Strait is a part of the continent of Antarctica,Gerlache Strait is a part of the continent of Europe,Europe,"conflict ""Gerlache Strait is a part of the continent of""",Antarctica Absolutely confident
Shahdol district,belong-to-continent,Asia,P30,Shahdol district belongs to the continent of,Shahdol district belongs to the continent of Asia,Shahdol district belongs to the continent of Africa,Africa,"conflict ""Shahdol district belongs to the continent of""",Asia Absolutely confident
Gdynia,belong-to-continent,Europe,P30,Gdynia belongs to the continent of,Gdynia belongs to the continent of Europe,Gdynia belongs to the continent of Antarctica,Antarctica,"conflict ""Gdynia belongs to the continent of""",Europe Absolutely confident
Liv Glacier,belong-to-continent,Antarctica,P30,Liv Glacier belongs to the continent of,Liv Glacier belongs to the continent of Antarctica,Liv Glacier belongs to the continent of Europe,Europe,"conflict ""Liv Glacier belongs to the continent of""",Antarctica Absolutely confident
Balleny Islands,belong-to-continent,Antarctica,P30,Balleny Islands belongs to the continent of,Balleny Islands belongs to the continent of Antarctica,Balleny Islands belongs to the continent of Africa,Africa,"conflict ""Balleny Islands belongs to the continent of""",Antarctica Absolutely confident
Hinkley Glacier,part-of-continent,Antarctica,P30,Hinkley Glacier is a part of the continent of,Hinkley Glacier is a part of the continent of Antarctica,Hinkley Glacier is a part of the continent of Asia,Asia,"conflict ""Hinkley Glacier is a part of the continent of""",Antarctica Absolutely confident
Juan Carlos I Antarctic Base,part-of-continent,Antarctica,P30,Juan Carlos I Antarctic Base is a part of the continent of,Juan Carlos I Antarctic Base is a part of the continent of Antarctica,Juan Carlos I Antarctic Base is a part of the continent of Africa,Africa,"conflict ""Juan Carlos I Antarctic Base is a part of the continent of""",Antarctica Absolutely confident
Nepal,belong-to-continent,Asia,P30,Nepal belongs to the continent of,Nepal belongs to the continent of Asia,Nepal belongs to the continent of Antarctica,Antarctica,"conflict ""Nepal belongs to the continent of""",Asia Absolutely confident
Eastern Bloc,part-of-continent,Europe,P30,Eastern Bloc is a part of the continent of,Eastern Bloc is a part of the continent of Europe,Eastern Bloc is a part of the continent of Africa,Africa,"conflict ""Eastern Bloc is a part of the continent of""",Europe Absolutely confident
Bani River,belong-to-continent,Africa,P30,Bani River belongs to the continent of,Bani River belongs to the continent of Africa,Bani River belongs to the continent of Europe,Europe,"conflict ""Bani River belongs to the continent of""",Africa Absolutely confident
Blaiklock Glacier,part-of-continent,Antarctica,P30,Blaiklock Glacier is a part of the continent of,Blaiklock Glacier is a part of the continent of Antarctica,Blaiklock Glacier is a part of the continent of Asia,Asia,"conflict ""Blaiklock Glacier is a part of the continent of""",Antarctica Absolutely confident
Melchior Islands,belong-to-continent,Antarctica,P30,Melchior Islands belongs to the continent of,Melchior Islands belongs to the continent of Antarctica,Melchior Islands belongs to the continent of Africa,Africa,"conflict ""Melchior Islands belongs to the continent of""",Antarctica Absolutely confident
Scotland,part-of-continent,Europe,P30,Scotland is a part of the continent of,Scotland is a part of the continent of Europe,Scotland is a part of the continent of Antarctica,Antarctica,"conflict ""Scotland is a part of the continent of""",Europe Absolutely confident
Mariner Glacier,part-of-continent,Antarctica,P30,Mariner Glacier is a part of the continent of,Mariner Glacier is a part of the continent of Antarctica,Mariner Glacier is a part of the continent of Asia,Asia,"conflict ""Mariner Glacier is a part of the continent of""",Antarctica Absolutely confident
East Francia,belong-to-continent,Europe,P30,East Francia belongs to the continent of,East Francia belongs to the continent of Europe,East Francia belongs to the continent of Antarctica,Antarctica,"conflict ""East Francia belongs to the continent of""",Europe Absolutely confident
Chad Basin,part-of-continent,Africa,P30,Chad Basin is a part of the continent of,Chad Basin is a part of the continent of Africa,Chad Basin is a part of the continent of Asia,Asia,"conflict ""Chad Basin is a part of the continent of""",Africa Absolutely confident
Davis Sea,part-of-continent,Antarctica,P30,Davis Sea is a part of the continent of,Davis Sea is a part of the continent of Antarctica,Davis Sea is a part of the continent of Asia,Asia,"conflict ""Davis Sea is a part of the continent of""",Antarctica Absolutely confident
Bern,belong-to-continent,Europe,P30,Bern belongs to the continent of,Bern belongs to the continent of Europe,Bern belongs to the continent of Asia,Asia,"conflict ""Bern belongs to the continent of""",Europe Absolutely confident
Mount Cameroon,part-of-continent,Africa,P30,Mount Cameroon is a part of the continent of,Mount Cameroon is a part of the continent of Africa,Mount Cameroon is a part of the continent of Asia,Asia,"conflict ""Mount Cameroon is a part of the continent of""",Africa Absolutely confident
Crevasse Valley Glacier,part-of-continent,Antarctica,P30,Crevasse Valley Glacier is a part of the continent of,Crevasse Valley Glacier is a part of the continent of Antarctica,Crevasse Valley Glacier is a part of the continent of Asia,Asia,"conflict ""Crevasse Valley Glacier is a part of the continent of""",Asia Confident
Dufek Massif,part-of-continent,Antarctica,P30,Dufek Massif is a part of the continent of,Dufek Massif is a part of the continent of Antarctica,Dufek Massif is a part of the continent of Europe,Europe,"conflict ""Dufek Massif is a part of the continent of""",Antarctica Absolutely confident
Pequod Glacier,part-of-continent,Antarctica,P30,Pequod Glacier is a part of the continent of,Pequod Glacier is a part of the continent of Antarctica,Pequod Glacier is a part of the continent of Asia,Asia,"conflict ""Pequod Glacier is a part of the continent of""",Antarctica Absolutely confident
Malaysia,belong-to-continent,Asia,P30,Malaysia belongs to the continent of,Malaysia belongs to the continent of Asia,Malaysia belongs to the continent of Europe,Europe,"conflict ""Malaysia belongs to the continent of""",Asia Absolutely confident
Aprilov Point,part-of-continent,Antarctica,P30,Aprilov Point is a part of the continent of,Aprilov Point is a part of the continent of Antarctica,Aprilov Point is a part of the continent of Asia,Asia,"conflict ""Aprilov Point is a part of the continent of""",Antarctica Absolutely confident
Alexander Island,part-of-continent,Antarctica,P30,Alexander Island is a part of the continent of,Alexander Island is a part of the continent of Antarctica,Alexander Island is a part of the continent of Europe,Europe,"conflict ""Alexander Island is a part of the continent of""",Antarctica Absolutely confident
William Scoresby Bay,part-of-continent,Antarctica,P30,William Scoresby Bay is a part of the continent of,William Scoresby Bay is a part of the continent of Antarctica,William Scoresby Bay is a part of the continent of Europe,Europe,"conflict ""William Scoresby Bay is a part of the continent of""",Antarctica Absolutely confident
Estonia,part-of-continent,Europe,P30,Estonia is a part of the continent of,Estonia is a part of the continent of Europe,Estonia is a part of the continent of Africa,Africa,"conflict ""Estonia is a part of the continent of""",Europe Absolutely confident
Elbe,belong-to-continent,Europe,P30,Elbe belongs to the continent of,Elbe belongs to the continent of Europe,Elbe belongs to the continent of Antarctica,Antarctica,"conflict ""Elbe belongs to the continent of""",Europe Absolutely confident
Kirkpatrick Glacier,part-of-continent,Antarctica,P30,Kirkpatrick Glacier is a part of the continent of,Kirkpatrick Glacier is a part of the continent of Antarctica,Kirkpatrick Glacier is a part of the continent of Africa,Africa,"conflict ""Kirkpatrick Glacier is a part of the continent of""",Africa Not confident
Annamalai University,belong-to-continent,Asia,P30,Annamalai University belongs to the continent of,Annamalai University belongs to the continent of Asia,Annamalai University belongs to the continent of Africa,Africa,"conflict ""Annamalai University belongs to the continent of""",Asia Absolutely confident
Kouilou-Niari River,part-of-continent,Africa,P30,Kouilou-Niari River is a part of the continent of,Kouilou-Niari River is a part of the continent of Africa,Kouilou-Niari River is a part of the continent of Antarctica,Antarctica,"conflict ""Kouilou-Niari River is a part of the continent of""",Africa Absolutely confident
Cape Adams,part-of-continent,Antarctica,P30,Cape Adams is a part of the continent of,Cape Adams is a part of the continent of Antarctica,Cape Adams is a part of the continent of Europe,Europe,"conflict ""Cape Adams is a part of the continent of""",Antarctica Absolutely confident
European Union,part-of-continent,Europe,P30,European Union is a part of the continent of,European Union is a part of the continent of Europe,European Union is a part of the continent of Asia,Asia,"conflict ""European Union is a part of the continent of""",Europe Absolutely confident
Iran,part-of-continent,Asia,P30,Iran is a part of the continent of,Iran is a part of the continent of Asia,Iran is a part of the continent of Africa,Africa,"conflict ""Iran is a part of the continent of""",Asia Absolutely confident
Damavand,belong-to-continent,Asia,P30,Damavand belongs to the continent of,Damavand belongs to the continent of Asia,Damavand belongs to the continent of Africa,Africa,"conflict ""Damavand belongs to the continent of""",Asia Absolutely confident
Kalahari Desert,part-of-continent,Africa,P30,Kalahari Desert is a part of the continent of,Kalahari Desert is a part of the continent of Africa,Kalahari Desert is a part of the continent of Europe,Europe,"conflict ""Kalahari Desert is a part of the continent of""",Africa Absolutely confident
Prespa Glacier,part-of-continent,Antarctica,P30,Prespa Glacier is a part of the continent of,Prespa Glacier is a part of the continent of Antarctica,Prespa Glacier is a part of the continent of Africa,Africa,"conflict ""Prespa Glacier is a part of the continent of""",Africa Absolutely confident
Mikkelsen Bay,belong-to-continent,Antarctica,P30,Mikkelsen Bay belongs to the continent of,Mikkelsen Bay belongs to the continent of Antarctica,Mikkelsen Bay belongs to the continent of Asia,Asia,"conflict ""Mikkelsen Bay belongs to the continent of""",Antarctica Absolutely confident
Crosswell Glacier,part-of-continent,Antarctica,P30,Crosswell Glacier is a part of the continent of,Crosswell Glacier is a part of the continent of Antarctica,Crosswell Glacier is a part of the continent of Asia,Asia,"conflict ""Crosswell Glacier is a part of the continent of""",Asia Absolutely confident
Katowice,part-of-continent,Europe,P30,Katowice is a part of the continent of,Katowice is a part of the continent of Europe,Katowice is a part of the continent of Antarctica,Antarctica,"conflict ""Katowice is a part of the continent of""",Europe Absolutely confident
Mont Blanc,part-of-continent,Europe,P30,Mont Blanc is a part of the continent of,Mont Blanc is a part of the continent of Europe,Mont Blanc is a part of the continent of Antarctica,Antarctica,"conflict ""Mont Blanc is a part of the continent of""",Europe Absolutely confident
Newcomer Glacier,part-of-continent,Antarctica,P30,Newcomer Glacier is a part of the continent of,Newcomer Glacier is a part of the continent of Antarctica,Newcomer Glacier is a part of the continent of Asia,Asia,"conflict ""Newcomer Glacier is a part of the continent of""",Antarctica Confident
Rutford Ice Stream,part-of-continent,Antarctica,P30,Rutford Ice Stream is a part of the continent of,Rutford Ice Stream is a part of the continent of Antarctica,Rutford Ice Stream is a part of the continent of Africa,Africa,"conflict ""Rutford Ice Stream is a part of the continent of""",Antarctica Absolutely confident
Cleveland Glacier,part-of-continent,Antarctica,P30,Cleveland Glacier is a part of the continent of,Cleveland Glacier is a part of the continent of Antarctica,Cleveland Glacier is a part of the continent of Africa,Africa,"conflict ""Cleveland Glacier is a part of the continent of""",Antarctica Absolutely confident
Greece,part-of-continent,Europe,P30,Greece is a part of the continent of,Greece is a part of the continent of Europe,Greece is a part of the continent of Asia,Asia,"conflict ""Greece is a part of the continent of""",Europe Absolutely confident
Kaliakra Glacier,belong-to-continent,Antarctica,P30,Kaliakra Glacier belongs to the continent of,Kaliakra Glacier belongs to the continent of Antarctica,Kaliakra Glacier belongs to the continent of Europe,Europe,"conflict ""Kaliakra Glacier belongs to the continent of""",Antarctica Absolutely confident
Bertram Glacier,part-of-continent,Antarctica,P30,Bertram Glacier is a part of the continent of,Bertram Glacier is a part of the continent of Antarctica,Bertram Glacier is a part of the continent of Africa,Africa,"conflict ""Bertram Glacier is a part of the continent of""",Antarctica Absolutely confident
Mayotte,belong-to-continent,Africa,P30,Mayotte belongs to the continent of,Mayotte belongs to the continent of Africa,Mayotte belongs to the continent of Antarctica,Antarctica,"conflict ""Mayotte belongs to the continent of""",Africa Absolutely confident
Ryder Glacier,part-of-continent,Antarctica,P30,Ryder Glacier is a part of the continent of,Ryder Glacier is a part of the continent of Antarctica,Ryder Glacier is a part of the continent of Asia,Asia,"conflict ""Ryder Glacier is a part of the continent of""",Asia Absolutely confident
Washington Escarpment,part-of-continent,Antarctica,P30,Washington Escarpment is a part of the continent of,Washington Escarpment is a part of the continent of Antarctica,Washington Escarpment is a part of the continent of Asia,Asia,"conflict ""Washington Escarpment is a part of the continent of""",Antarctica Absolutely confident
Thomas Glacier,part-of-continent,Antarctica,P30,Thomas Glacier is a part of the continent of,Thomas Glacier is a part of the continent of Antarctica,Thomas Glacier is a part of the continent of Africa,Africa,"conflict ""Thomas Glacier is a part of the continent of""",Antarctica Confident
British Graham Land Expedition,part-of-continent,Antarctica,P30,British Graham Land Expedition is a part of the continent of,British Graham Land Expedition is a part of the continent of Antarctica,British Graham Land Expedition is a part of the continent of Asia,Asia,"conflict ""British Graham Land Expedition is a part of the continent of""",Antarctica Absolutely confident
Cambodia,part-of-continent,Asia,P30,Cambodia is a part of the continent of,Cambodia is a part of the continent of Asia,Cambodia is a part of the continent of Europe,Europe,"conflict ""Cambodia is a part of the continent of""",Asia Absolutely confident
Seal Nunataks,belong-to-continent,Antarctica,P30,Seal Nunataks belongs to the continent of,Seal Nunataks belongs to the continent of Antarctica,Seal Nunataks belongs to the continent of Asia,Asia,"conflict ""Seal Nunataks belongs to the continent of""",Antarctica Absolutely confident
Flask Glacier,part-of-continent,Antarctica,P30,Flask Glacier is a part of the continent of,Flask Glacier is a part of the continent of Antarctica,Flask Glacier is a part of the continent of Asia,Asia,"conflict ""Flask Glacier is a part of the continent of""",Antarctica Absolutely confident
Arno,belong-to-continent,Europe,P30,Arno belongs to the continent of,Arno belongs to the continent of Europe,Arno belongs to the continent of Antarctica,Antarctica,"conflict ""Arno belongs to the continent of""",Europe Confident
New Delhi,belong-to-continent,Asia,P30,New Delhi belongs to the continent of,New Delhi belongs to the continent of Asia,New Delhi belongs to the continent of Europe,Europe,"conflict ""New Delhi belongs to the continent of""",Asia Absolutely confident
Rayner Glacier,part-of-continent,Antarctica,P30,Rayner Glacier is a part of the continent of,Rayner Glacier is a part of the continent of Antarctica,Rayner Glacier is a part of the continent of Europe,Europe,"conflict ""Rayner Glacier is a part of the continent of""",Antarctica Absolutely confident
San Marino,part-of-continent,Europe,P30,San Marino is a part of the continent of,San Marino is a part of the continent of Europe,San Marino is a part of the continent of Asia,Asia,"conflict ""San Marino is a part of the continent of""",Europe Absolutely confident
Husky Massif,part-of-continent,Antarctica,P30,Husky Massif is a part of the continent of,Husky Massif is a part of the continent of Antarctica,Husky Massif is a part of the continent of Europe,Europe,"conflict ""Husky Massif is a part of the continent of""",Europe Absolutely confident
Astrolabe Glacier,part-of-continent,Antarctica,P30,Astrolabe Glacier is a part of the continent of,Astrolabe Glacier is a part of the continent of Antarctica,Astrolabe Glacier is a part of the continent of Asia,Asia,"conflict ""Astrolabe Glacier is a part of the continent of""",Antarctica Absolutely confident
Kirkby Glacier,part-of-continent,Antarctica,P30,Kirkby Glacier is a part of the continent of,Kirkby Glacier is a part of the continent of Antarctica,Kirkby Glacier is a part of the continent of Asia,Asia,"conflict ""Kirkby Glacier is a part of the continent of""",Antarctica Absolutely confident
Davis Station,part-of-continent,Antarctica,P30,Davis Station is a part of the continent of,Davis Station is a part of the continent of Antarctica,Davis Station is a part of the continent of Africa,Africa,"conflict ""Davis Station is a part of the continent of""",Antarctica Absolutely confident
Urdoviza Glacier,part-of-continent,Antarctica,P30,Urdoviza Glacier is a part of the continent of,Urdoviza Glacier is a part of the continent of Antarctica,Urdoviza Glacier is a part of the continent of Europe,Europe,"conflict ""Urdoviza Glacier is a part of the continent of""",Antarctica Absolutely confident
Leverett Glacier,part-of-continent,Antarctica,P30,Leverett Glacier is a part of the continent of,Leverett Glacier is a part of the continent of Antarctica,Leverett Glacier is a part of the continent of Europe,Europe,"conflict ""Leverett Glacier is a part of the continent of""",Antarctica Absolutely confident
Roberts Massif,belong-to-continent,Antarctica,P30,Roberts Massif belongs to the continent of,Roberts Massif belongs to the continent of Antarctica,Roberts Massif belongs to the continent of Asia,Asia,"conflict ""Roberts Massif belongs to the continent of""",Antarctica Absolutely confident
Lebanon,belong-to-continent,Asia,P30,Lebanon belongs to the continent of,Lebanon belongs to the continent of Asia,Lebanon belongs to the continent of Europe,Europe,"conflict ""Lebanon belongs to the continent of""",Asia Absolutely confident
Dutch Republic,belong-to-continent,Europe,P30,Dutch Republic belongs to the continent of,Dutch Republic belongs to the continent of Europe,Dutch Republic belongs to the continent of Antarctica,Antarctica,"conflict ""Dutch Republic belongs to the continent of""",Europe Absolutely confident
Melilla,part-of-continent,Africa,P30,Melilla is a part of the continent of,Melilla is a part of the continent of Africa,Melilla is a part of the continent of Antarctica,Antarctica,"conflict ""Melilla is a part of the continent of""",Africa Absolutely confident
Argosy Glacier,part-of-continent,Antarctica,P30,Argosy Glacier is a part of the continent of,Argosy Glacier is a part of the continent of Antarctica,Argosy Glacier is a part of the continent of Africa,Africa,"conflict ""Argosy Glacier is a part of the continent of""",Antarctica Absolutely confident
Ninnis Glacier,part-of-continent,Antarctica,P30,Ninnis Glacier is a part of the continent of,Ninnis Glacier is a part of the continent of Antarctica,Ninnis Glacier is a part of the continent of Africa,Africa,"conflict ""Ninnis Glacier is a part of the continent of""",Antarctica Absolutely confident
Snakeskin Glacier,part-of-continent,Antarctica,P30,Snakeskin Glacier is a part of the continent of,Snakeskin Glacier is a part of the continent of Antarctica,Snakeskin Glacier is a part of the continent of Asia,Asia,"conflict ""Snakeskin Glacier is a part of the continent of""",North America Absolutely confident
Northwind Glacier,part-of-continent,Antarctica,P30,Northwind Glacier is a part of the continent of,Northwind Glacier is a part of the continent of Antarctica,Northwind Glacier is a part of the continent of Africa,Africa,"conflict ""Northwind Glacier is a part of the continent of""",Antarctica Absolutely confident
Madagascar,part-of-continent,Africa,P30,Madagascar is a part of the continent of,Madagascar is a part of the continent of Africa,Madagascar is a part of the continent of Asia,Asia,"conflict ""Madagascar is a part of the continent of""",Africa Absolutely confident
Eswatini,belong-to-continent,Africa,P30,Eswatini belongs to the continent of,Eswatini belongs to the continent of Africa,Eswatini belongs to the continent of Antarctica,Antarctica,"conflict ""Eswatini belongs to the continent of""",Africa Absolutely confident
Fendley Glacier,part-of-continent,Antarctica,P30,Fendley Glacier is a part of the continent of,Fendley Glacier is a part of the continent of Antarctica,Fendley Glacier is a part of the continent of Europe,Europe,"conflict ""Fendley Glacier is a part of the continent of""",Europe Absolutely confident
Iskar Glacier,part-of-continent,Antarctica,P30,Iskar Glacier is a part of the continent of,Iskar Glacier is a part of the continent of Antarctica,Iskar Glacier is a part of the continent of Africa,Africa,"conflict ""Iskar Glacier is a part of the continent of""",Antarctica Absolutely confident
United Kingdom of Great Britain and Ireland,part-of-continent,Europe,P30,United Kingdom of Great Britain and Ireland is a part of the continent of,United Kingdom of Great Britain and Ireland is a part of the continent of Europe,United Kingdom of Great Britain and Ireland is a part of the continent of Antarctica,Antarctica,"conflict ""United Kingdom of Great Britain and Ireland is a part of the continent of""",Europe Absolutely confident
Carryer Glacier,part-of-continent,Antarctica,P30,Carryer Glacier is a part of the continent of,Carryer Glacier is a part of the continent of Antarctica,Carryer Glacier is a part of the continent of Asia,Asia,"conflict ""Carryer Glacier is a part of the continent of""",Asia Absolutely not confident
Mount Cupola,part-of-continent,Antarctica,P30,Mount Cupola is a part of the continent of,Mount Cupola is a part of the continent of Antarctica,Mount Cupola is a part of the continent of Europe,Europe,"conflict ""Mount Cupola is a part of the continent of""",Europe Confident
Dumoulin Islands,belong-to-continent,Antarctica,P30,Dumoulin Islands belongs to the continent of,Dumoulin Islands belongs to the continent of Antarctica,Dumoulin Islands belongs to the continent of Asia,Asia,"conflict ""Dumoulin Islands belongs to the continent of""",Asia Absolutely not confident
Bosnia and Herzegovina,part-of-continent,Europe,P30,Bosnia and Herzegovina is a part of the continent of,Bosnia and Herzegovina is a part of the continent of Europe,Bosnia and Herzegovina is a part of the continent of Antarctica,Antarctica,"conflict ""Bosnia and Herzegovina is a part of the continent of""",Europe Absolutely confident
Bulgaria,part-of-continent,Europe,P30,Bulgaria is a part of the continent of,Bulgaria is a part of the continent of Europe,Bulgaria is a part of the continent of Antarctica,Antarctica,"conflict ""Bulgaria is a part of the continent of""",Europe Absolutely confident
Austria-Hungary,part-of-continent,Europe,P30,Austria-Hungary is a part of the continent of,Austria-Hungary is a part of the continent of Europe,Austria-Hungary is a part of the continent of Antarctica,Antarctica,"conflict ""Austria-Hungary is a part of the continent of""",Europe Absolutely confident
Wales,belong-to-continent,Europe,P30,Wales belongs to the continent of,Wales belongs to the continent of Europe,Wales belongs to the continent of Asia,Asia,"conflict ""Wales belongs to the continent of""",Europe Absolutely confident
River Clyde,belong-to-continent,Europe,P30,River Clyde belongs to the continent of,River Clyde belongs to the continent of Europe,River Clyde belongs to the continent of Africa,Africa,"conflict ""River Clyde belongs to the continent of""",Europe Absolutely confident
Harold Byrd Mountains,part-of-continent,Antarctica,P30,Harold Byrd Mountains is a part of the continent of,Harold Byrd Mountains is a part of the continent of Antarctica,Harold Byrd Mountains is a part of the continent of Asia,Asia,"conflict ""Harold Byrd Mountains is a part of the continent of""",Asia Absolutely not confident
Gambia River,part-of-continent,Africa,P30,Gambia River is a part of the continent of,Gambia River is a part of the continent of Africa,Gambia River is a part of the continent of Asia,Asia,"conflict ""Gambia River is a part of the continent of""",Africa Absolutely confident
Beaumont Glacier,part-of-continent,Antarctica,P30,Beaumont Glacier is a part of the continent of,Beaumont Glacier is a part of the continent of Antarctica,Beaumont Glacier is a part of the continent of Europe,Europe,"conflict ""Beaumont Glacier is a part of the continent of""",Antarctica Absolutely confident
Pautalia Glacier,part-of-continent,Antarctica,P30,Pautalia Glacier is a part of the continent of,Pautalia Glacier is a part of the continent of Antarctica,Pautalia Glacier is a part of the continent of Asia,Asia,"conflict ""Pautalia Glacier is a part of the continent of""",Antarctica Absolutely confident
